grn_number,po_number,line_no,item_code,qty_received
GRN-2026-00055,PO-2026-00058,1,INS-TMP01,8
GRN-2026-00056,PO-2026-00059,1,STL-SQ50,3
GRN-2026-00057,PO-2026-00060,1,SEL-GSK150,1
GRN-2025-00058,PO-2025-00061,1,VLV-BF100,1
GRN-2026-00059,PO-2026-00062,1,BRG-22216,10
GRN-2026-00059,PO-2026-00062,2,DRV-TL2517,8
GRN-2026-00059,PO-2026-00062,3,DRV-SPB2120,3
GRN-2026-00059,PO-2026-00062,4,BRG-6205,12
GRN-2026-00060,PO-2026-00064,1,FST-ANC12,3
GRN-2026-00060,PO-2026-00064,2,FST-M12X60,10
GRN-2026-00060,PO-2026-00064,3,FST-NUTM12,8
GRN-2025-00061,PO-2025-00065,1,REF-GAS404,25
GRN-2025-00062,PO-2025-00066,1,PPE-GLV10,1
GRN-2026-00063,PO-2026-00067,1,MHD-FRK25,1
GRN-2026-00064,PO-2026-00068,1,PIP-FLG80,2
GRN-2026-00064,PO-2026-00068,2,PIP-GAL50,2
GRN-2026-00065,PO-2026-00070,1,MTR-REW11,5
GRN-2026-00065,PO-2026-00070,2,MTR-55KW4,4
GRN-2026-00066,PO-2026-00071,1,INS-PRS16,6
GRN-2026-00066,PO-2026-00071,2,INS-TMP01,1
GRN-2026-00067,PO-2026-00072,1,DRV-TL2517,10
GRN-2026-00068,PO-2026-00074,1,ELE-CB63,1
GRN-2026-00068,PO-2026-00074,2,ELE-CON40,25
GRN-2026-00068,PO-2026-00074,3,ELE-SWA4C,20
GRN-2026-00068,PO-2026-00074,4,ELE-BAT100,4
GRN-2026-00069,PO-2026-00075,1,PNT-PRM20,5
GRN-2026-00069,PO-2026-00075,2,PNT-EPX20,4
GRN-2025-00070,PO-2025-00076,1,INS-TMP01,2
GRN-2025-00070,PO-2025-00076,2,INS-PRS16,1
GRN-2026-00071,PO-2026-00077,1,FST-M12X60,12
GRN-2026-00071,PO-2026-00077,2,FST-NUTM12,4
GRN-2026-00072,PO-2026-00078,1,ABR-CUT230,1
GRN-2026-00073,PO-2026-00079,1,STL-SQ50,12
GRN-2026-00074,PO-2026-00080,1,MTR-REW11,2
GRN-2026-00075,PO-2026-00081,1,ELE-CON40,1
GRN-2026-00075,PO-2026-00081,2,ELE-BAT100,1
GRN-2026-00075,PO-2026-00081,3,ELE-CB63,20
GRN-2026-00076,PO-2026-00082,1,PPE-HRN01,12
GRN-2026-00077,PO-2026-00083,1,STL-PL6MS,4
GRN-2026-00078,PO-2026-00084,1,PLA-HDPE10,4
GRN-2026-00078,PO-2026-00084,2,PLA-PER06,8
GRN-2026-00079,PO-2026-00085,1,PPE-HAT01,3
GRN-2026-00079,PO-2026-00085,2,PPE-BOOT8,3
GRN-2026-00080,PO-2026-00086,1,REF-CMP15,6
GRN-2026-00081,PO-2026-00087,1,HYD-PMP45,2
GRN-2026-00081,PO-2026-00087,2,HYD-2SN12,1
GRN-2026-00082,PO-2026-00088,1,REF-GAS404,20
GRN-2026-00082,PO-2026-00088,2,REF-CMP15,32
GRN-2026-00083,PO-2026-00089,1,MTR-REW11,20
GRN-2026-00083,PO-2026-00089,2,MTR-55KW4,5
GRN-2026-00084,PO-2026-00090,1,MHD-SLG03,1
GRN-2026-00084,PO-2026-00090,2,MHD-FRK25,1
GRN-2025-00085,PO-2025-00091,1,ELE-CB63,4
GRN-2025-00085,PO-2025-00091,2,ELE-SWA4C,3
GRN-2026-00086,PO-2026-00092,1,TLS-GRN230,1
GRN-2026-00086,PO-2026-00092,2,TLS-DRL18,2
GRN-2026-00086,PO-2026-00092,3,TLS-TRQ34,25
GRN-2026-00087,PO-2026-00093,1,MHD-FRK25,10
GRN-2026-00087,PO-2026-00093,2,MHD-SLG03,3
GRN-2026-00088,PO-2026-00094,1,INS-PRS16,20
GRN-2026-00089,PO-2026-00095,1,STL-SQ50,3
GRN-2026-00089,PO-2026-00095,2,STL-ANG40,3
GRN-2026-00089,PO-2026-00095,3,STL-PL6MS,2
GRN-2026-00090,PO-2026-00096,1,SEL-GSK150,50
GRN-2026-00091,PO-2026-00097,1,SEL-ORK01,3
GRN-2026-00091,PO-2026-00097,2,SEL-OIL45,6
GRN-2026-00092,PO-2026-00098,1,HDW-PDL50,1
GRN-2026-00092,PO-2026-00098,2,HDW-CST100,8
GRN-2026-00093,PO-2026-00099,1,HYD-FIT12,20
GRN-2025-00094,PO-2025-00100,1,HYD-FIT12,25
GRN-2026-00095,PO-2025-00101,1,PLA-PER06,17
GRN-2026-00095,PO-2025-00101,2,PLA-HDPE10,4
GRN-2026-00096,PO-2026-00102,1,MHD-FRK25,3
GRN-2026-00096,PO-2026-00102,2,MHD-SLG03,8
GRN-2026-00097,PO-2026-00103,1,HDW-PDL50,8
GRN-2026-00097,PO-2026-00103,2,HDW-CST100,10
GRN-2026-00098,PO-2026-00104,1,PNU-CMP75,2
GRN-2026-00098,PO-2026-00104,2,PNU-FRL12,1
GRN-2026-00098,PO-2026-00104,3,PNU-CYL63,2
GRN-2026-00099,PO-2026-00105,1,MHD-FRK25,10
GRN-2026-00099,PO-2026-00105,2,MHD-SLG03,2
GRN-2026-00100,PO-2026-00106,1,HDW-CST100,1
GRN-2026-00101,PO-2026-00107,1,ELE-CON40,4
GRN-2026-00102,PO-2026-00108,1,HDW-CST100,2
GRN-2026-00102,PO-2026-00108,2,HDW-PDL50,6
GRN-2025-00103,PO-2025-00109,1,CNV-BLT650,4
GRN-2025-00103,PO-2025-00109,2,CNV-PUL400,20
GRN-2025-00103,PO-2025-00109,3,CNV-IDL152,4
GRN-2026-00104,PO-2026-00110,1,FST-NUTM12,20
GRN-2026-00105,PO-2026-00111,1,PNU-FRL12,1
GRN-2026-00105,PO-2026-00111,2,PNU-CMP75,19
GRN-2025-00106,PO-2025-00112,1,HYD-CYL80,3
GRN-2025-00106,PO-2025-00112,2,HYD-FIT12,1
GRN-2025-00106,PO-2025-00112,3,HYD-PMP45,1
GRN-2026-00107,PO-2026-00113,1,PNT-PRM20,5
GRN-2026-00107,PO-2026-00113,2,PNT-EPX20,2
GRN-2026-00108,PO-2026-00114,1,PKG-PLT12,20
GRN-2026-00108,PO-2026-00114,2,PKG-STR48,8
GRN-2026-00109,PO-2026-00115,1,REF-GAS404,1
GRN-2026-00109,PO-2026-00115,2,REF-CMP15,5
GRN-2026-00110,PO-2026-00116,1,STL-SQ50,4
GRN-2026-00111,PO-2025-00117,1,MTR-REW11,6
GRN-2026-00111,PO-2025-00117,2,MTR-55KW4,5
GRN-2026-00112,PO-2026-00118,1,HYD-2SN12,2
GRN-2026-00112,PO-2026-00118,2,HYD-CYL80,2
GRN-2026-00113,PO-2025-00119,1,WLD-E6013,3
GRN-2025-00114,PO-2025-00120,1,HYD-CYL80,2
GRN-2025-00114,PO-2025-00120,2,HYD-PMP45,1
GRN-2026-00115,PO-2026-00121,1,CHM-RUS05,4
GRN-2026-00115,PO-2026-00121,2,CHM-DEG25,20
GRN-2026-00116,PO-2026-00122,1,FST-NUTM12,4
GRN-2026-00116,PO-2026-00122,2,FST-ANC12,10
GRN-2026-00117,PO-2026-00123,1,BRG-22216,20
GRN-2026-00118,PO-2026-00124,1,VLV-GT80,20
GRN-2026-00118,PO-2026-00124,2,VLV-BF100,10
GRN-2026-00119,PO-2026-00125,1,FST-M12X60,3
GRN-2026-00119,PO-2026-00125,2,FST-NUTM12,6
GRN-2026-00119,PO-2026-00125,3,FST-ANC12,50
GRN-2026-00120,PO-2026-00127,1,STL-SQ50,2
GRN-2026-00120,PO-2026-00127,2,STL-RD304,4
GRN-2026-00120,PO-2026-00127,3,STL-PL6MS,4
GRN-2026-00121,PO-2026-00128,1,CHM-RUS05,4
GRN-2026-00121,PO-2026-00128,2,CHM-DEG25,4
GRN-2026-00122,PO-2026-00130,1,CNV-BLT650,3
GRN-2026-00122,PO-2026-00130,2,CNV-PUL400,2
GRN-2026-00122,PO-2026-00130,3,CNV-IDL152,25
GRN-2025-00123,PO-2025-00131,1,PPE-HRN01,3
GRN-2025-00123,PO-2025-00131,2,PPE-BOOT8,1
GRN-2025-00123,PO-2025-00131,3,PPE-GLV10,2
GRN-2025-00123,PO-2025-00131,4,PPE-HAT01,4
GRN-2026-00124,PO-2026-00132,1,BRG-22216,10
GRN-2026-00124,PO-2026-00132,2,BRG-6205,1
GRN-2026-00124,PO-2026-00132,3,DRV-SPB2120,10
GRN-2026-00125,PO-2026-00133,1,WLD-MIG08,2
GRN-2026-00126,PO-2026-00134,1,CNV-IDL152,10
GRN-2026-00127,PO-2026-00135,1,HYD-CYL80,1
GRN-2026-00127,PO-2026-00135,2,HYD-2SN12,1
GRN-2026-00127,PO-2026-00135,3,HYD-FIT12,4
GRN-2026-00127,PO-2026-00135,4,HYD-PMP45,1
GRN-2026-00128,PO-2026-00137,1,VLV-GT80,4
GRN-2026-00129,PO-2026-00138,1,BRG-22216,5
GRN-2026-00129,PO-2026-00138,2,DRV-SPB2120,3
GRN-2026-00130,PO-2025-00139,1,FST-NUTM12,4
GRN-2026-00130,PO-2025-00139,2,FST-M12X60,50
GRN-2026-00131,PO-2026-00140,1,WLD-MIG08,2
GRN-2026-00131,PO-2026-00140,2,WLD-E6013,8
GRN-2026-00132,PO-2026-00141,1,PPE-HAT01,8
GRN-2026-00132,PO-2026-00141,2,PPE-HRN01,50
GRN-2026-00132,PO-2026-00141,3,PPE-BOOT8,20
GRN-2025-00133,PO-2025-00142,1,MHD-SLG03,7
GRN-2025-00133,PO-2025-00142,2,MHD-FRK25,1
GRN-2026-00134,PO-2026-00143,1,FST-M12X60,12
GRN-2026-00135,PO-2026-00144,1,CNV-BLT650,2
GRN-2026-00135,PO-2026-00144,2,CNV-IDL152,5
GRN-2026-00135,PO-2026-00144,3,CNV-PUL400,10
GRN-2025-00136,PO-2025-00145,1,HDW-PDL50,3
GRN-2026-00137,PO-2026-00146,1,PMP-CEN55,1
GRN-2025-00138,PO-2025-00147,1,WLD-MIG08,12
GRN-2026-00139,PO-2026-00148,1,HYD-FIT12,8
GRN-2026-00139,PO-2026-00148,2,HYD-2SN12,3
GRN-2026-00139,PO-2026-00148,3,HYD-CYL80,1
GRN-2026-00140,PO-2026-00149,1,STL-SQ50,3
GRN-2026-00140,PO-2026-00149,2,STL-ANG40,12
GRN-2026-00140,PO-2026-00149,3,STL-RD304,6
GRN-2026-00140,PO-2026-00149,4,STL-PL6MS,3
GRN-2026-00141,PO-2026-00150,1,MHD-FRK25,50
GRN-2026-00141,PO-2026-00150,2,MHD-SLG03,2
GRN-2025-00142,PO-2025-00152,1,TLS-DRL18,5
GRN-2025-00142,PO-2025-00152,2,TLS-GRN230,8
GRN-2025-00142,PO-2025-00152,3,TLS-TRQ34,1
GRN-2025-00143,PO-2025-00153,1,WLD-HLM01,2
GRN-2025-00143,PO-2025-00153,2,WLD-E6013,3
GRN-2025-00143,PO-2025-00153,3,WLD-MIG08,25
GRN-2026-00144,PO-2026-00154,1,REF-GAS404,1
GRN-2025-00145,PO-2025-00155,1,BRG-6205,2
GRN-2025-00145,PO-2025-00155,2,DRV-TL2517,25
GRN-2026-00146,PO-2026-00156,1,PPE-HRN01,2
GRN-2026-00147,PO-2026-00157,1,REF-CMP15,1
GRN-2026-00147,PO-2026-00157,2,REF-GAS404,1
GRN-2026-00148,PO-2026-00158,1,HDW-CST100,1
GRN-2026-00148,PO-2026-00158,2,HDW-PDL50,4
GRN-2026-00149,PO-2026-00159,1,PPE-HAT01,20
GRN-2026-00149,PO-2026-00159,2,PPE-HRN01,6
GRN-2025-00150,PO-2025-00160,1,HYD-PMP45,3
GRN-2026-00151,PO-2026-00161,1,VLV-BF100,4
GRN-2026-00151,PO-2026-00161,2,PMP-CEN55,1
GRN-2026-00151,PO-2026-00161,3,VLV-GT80,1
GRN-2025-00152,PO-2025-00162,1,HYD-PMP45,6
GRN-2025-00152,PO-2025-00162,2,HYD-FIT12,1
GRN-2025-00153,PO-2025-00163,1,STL-ANG40,5
GRN-2025-00153,PO-2025-00163,2,STL-PL6MS,2
GRN-2025-00154,PO-2025-00164,1,SEL-GSK150,4
GRN-2025-00154,PO-2025-00164,2,SEL-ORK01,2
GRN-2025-00154,PO-2025-00164,3,SEL-OIL45,2
GRN-2026-00155,PO-2026-00166,1,INS-PRS16,8
GRN-2026-00155,PO-2026-00166,2,INS-TMP01,1
GRN-2026-00156,PO-2026-00167,1,SEL-GSK150,3
GRN-2026-00157,PO-2026-00168,1,REF-CMP15,8
GRN-2026-00157,PO-2026-00168,2,REF-GAS404,6
GRN-2026-00158,PO-2026-00169,1,BRG-22216,6
GRN-2026-00159,PO-2026-00170,1,STL-RD304,1
GRN-2026-00160,PO-2026-00171,1,DRV-TL2517,1
GRN-2026-00160,PO-2026-00171,2,BRG-22216,5
GRN-2026-00160,PO-2026-00171,3,DRV-SPB2120,1
GRN-2025-00161,PO-2025-00172,1,MTR-REW11,6
GRN-2025-00162,PO-2025-00173,1,ELE-BAT100,1
GRN-2025-00162,PO-2025-00173,2,ELE-CON40,3
GRN-2026-00163,PO-2026-00174,1,BRG-22216,3
GRN-2026-00163,PO-2026-00174,2,BRG-6205,10
GRN-2026-00163,PO-2026-00174,3,DRV-SPB2120,1
GRN-2025-00164,PO-2025-00175,1,STL-SQ50,10
GRN-2025-00165,PO-2025-00176,1,ELE-BAT100,12
GRN-2025-00165,PO-2025-00176,2,ELE-CON40,4
GRN-2025-00165,PO-2025-00176,3,ELE-SWA4C,3
GRN-2025-00166,PO-2025-00177,1,CNV-PUL400,4
GRN-2025-00166,PO-2025-00177,2,CNV-IDL152,1
GRN-2025-00166,PO-2025-00177,3,CNV-BLT650,1
GRN-2026-00167,PO-2026-00178,1,REF-GAS404,20
GRN-2026-00167,PO-2026-00178,2,REF-CMP15,2
GRN-2026-00168,PO-2026-00179,1,INS-PRS16,3
GRN-2026-00168,PO-2026-00179,2,INS-TMP01,2
GRN-2026-00169,PO-2026-00180,1,BRG-22216,4
GRN-2026-00169,PO-2026-00180,2,DRV-TL2517,2
GRN-2026-00169,PO-2026-00180,3,BRG-6205,3
GRN-2025-00170,PO-2025-00181,1,SEL-ORK01,2
GRN-2025-00170,PO-2025-00181,2,SEL-OIL45,7
GRN-2025-00170,PO-2025-00181,3,SEL-GSK150,4
GRN-2026-00171,PO-2026-00182,1,ELE-CON40,2
GRN-2026-00171,PO-2026-00182,2,ELE-SWA4C,6
GRN-2026-00172,PO-2026-00184,1,PNT-EPX20,8
GRN-2026-00173,PO-2026-00185,1,ABR-CUT230,1
GRN-2026-00173,PO-2026-00185,2,ABR-FLP125,2
GRN-2026-00174,PO-2026-00186,1,INS-TMP01,3
GRN-2026-00174,PO-2026-00186,2,INS-PRS16,6
GRN-2026-00175,PO-2026-00187,1,PPE-BOOT8,2
GRN-2026-00175,PO-2026-00187,2,PPE-GLV10,6
GRN-2026-00176,PO-2025-00188,1,ELE-CB63,10
GRN-2026-00176,PO-2025-00188,2,ELE-BAT100,5
GRN-2026-00176,PO-2025-00188,3,ELE-CON40,20
GRN-2025-00177,PO-2025-00189,1,PKG-PLT12,5
GRN-2025-00177,PO-2025-00189,2,PKG-STR48,1
GRN-2025-00178,PO-2025-00190,1,DRV-SPB2120,4
GRN-2025-00178,PO-2025-00190,2,BRG-22216,5
GRN-2025-00178,PO-2025-00190,3,BRG-6205,2
GRN-2026-00179,PO-2026-00191,1,DRV-SPB2120,3
GRN-2026-00179,PO-2026-00191,2,DRV-TL2517,2
GRN-2025-00180,PO-2025-00193,1,MTR-55KW4,3
GRN-2025-00180,PO-2025-00193,2,MTR-REW11,8
GRN-2025-00181,PO-2025-00194,1,HYD-FIT12,4
GRN-2025-00181,PO-2025-00194,2,HYD-PMP45,3
GRN-2025-00181,PO-2025-00194,3,HYD-CYL80,6
GRN-2025-00181,PO-2025-00194,4,HYD-2SN12,12
GRN-2026-00182,PO-2026-00195,1,FST-M12X60,12
GRN-2026-00183,PO-2026-00196,1,HYD-PMP45,3
GRN-2026-00183,PO-2026-00196,2,HYD-CYL80,8
GRN-2026-00184,PO-2026-00198,1,HYD-FIT12,10
GRN-2026-00184,PO-2026-00198,2,HYD-PMP45,3
GRN-2026-00185,PO-2025-00199,1,CHM-DEG25,6
GRN-2025-00186,PO-2025-00200,1,PLA-PER06,6
GRN-2025-00186,PO-2025-00200,2,PLA-HDPE10,50
GRN-2026-00187,PO-2026-00202,1,MHD-SLG03,1
GRN-2026-00187,PO-2026-00202,2,MHD-FRK25,1
GRN-2025-00188,PO-2025-00203,1,STL-ANG40,10
GRN-2025-00188,PO-2025-00203,2,STL-RD304,10
GRN-2025-00188,PO-2025-00203,3,STL-SQ50,4
GRN-2026-00189,PO-2026-00204,1,SEL-OIL45,10
GRN-2026-00189,PO-2026-00204,2,SEL-ORK01,3
GRN-2026-00190,PO-2026-00205,1,INS-PRS16,1
GRN-2026-00190,PO-2026-00205,2,INS-TMP01,3
GRN-2026-00191,PO-2026-00206,1,STL-ANG40,3
GRN-2025-00192,PO-2025-00207,1,LUB-GRS18,4
GRN-2026-00193,PO-2026-00208,1,CHM-DEG25,1
GRN-2025-00194,PO-2025-00211,1,REF-CMP15,5
GRN-2026-00195,PO-2026-00212,1,HYD-PMP45,3
GRN-2026-00196,PO-2026-00213,1,PPE-HAT01,1
GRN-2026-00197,PO-2026-00214,1,BRG-22216,1
GRN-2026-00197,PO-2026-00214,2,DRV-TL2517,8
GRN-2026-00197,PO-2026-00214,3,DRV-SPB2120,12
GRN-2026-00197,PO-2026-00214,4,BRG-6205,10
GRN-2026-00198,PO-2026-00215,1,HDW-CST100,4
GRN-2026-00199,PO-2026-00216,1,TLS-GRN230,2
GRN-2026-00199,PO-2026-00216,2,TLS-DRL18,2
GRN-2026-00199,PO-2026-00216,3,TLS-TRQ34,6
GRN-2026-00200,PO-2026-00217,1,INS-PRS16,3
GRN-2026-00200,PO-2026-00217,2,INS-TMP01,3
GRN-2026-00201,PO-2026-00218,1,LUB-GRS18,8
GRN-2026-00202,PO-2026-00220,1,PLA-HDPE10,25
GRN-2026-00202,PO-2026-00220,2,PLA-PER06,1
GRN-2026-00203,PO-2026-00221,1,SEL-ORK01,25
GRN-2025-00204,PO-2025-00222,1,PLA-PER06,10
GRN-2026-00205,PO-2026-00223,1,HDW-PDL50,3
GRN-2026-00205,PO-2026-00223,2,HDW-CST100,50
GRN-2026-00206,PO-2026-00225,1,PNU-CMP75,50
GRN-2026-00206,PO-2026-00225,2,PNU-FRL12,1
GRN-2026-00207,PO-2026-00226,1,PIP-FLG80,4
GRN-2026-00207,PO-2026-00226,2,PIP-GAL50,2
GRN-2026-00208,PO-2026-00227,1,PLA-PER06,3
GRN-2026-00208,PO-2026-00227,2,PLA-HDPE10,1
GRN-2026-00209,PO-2026-00228,1,HYD-2SN12,1
GRN-2025-00210,PO-2025-00229,1,PLA-PER06,2
GRN-2025-00210,PO-2025-00229,2,PLA-HDPE10,6
GRN-2025-00211,PO-2025-00230,1,HYD-PMP45,3
GRN-2025-00211,PO-2025-00230,2,HYD-CYL80,17
GRN-2025-00211,PO-2025-00230,3,HYD-2SN12,1
GRN-2025-00211,PO-2025-00230,4,HYD-FIT12,1
GRN-2025-00212,PO-2025-00231,1,PNT-EPX20,5
GRN-2026-00213,PO-2026-00232,1,CHM-DEG25,3
GRN-2025-00214,PO-2025-00233,1,LUB-HYD46,5
GRN-2025-00214,PO-2025-00233,2,LUB-EP220,1
GRN-2025-00214,PO-2025-00233,3,LUB-GRS18,50
GRN-2025-00215,PO-2025-00234,1,PKG-STR48,2
GRN-2026-00216,PO-2026-00235,1,WLD-E6013,3
GRN-2026-00217,PO-2026-00236,1,MTR-REW11,50
GRN-2026-00217,PO-2026-00236,2,MTR-55KW4,8
GRN-2026-00218,PO-2026-00238,1,ELE-CB63,4
GRN-2026-00219,PO-2026-00239,1,CHM-RUS05,6
GRN-2026-00220,PO-2026-00240,1,PNT-EPX20,6
GRN-2026-00221,PO-2026-00241,1,HYD-CYL80,10
GRN-2026-00221,PO-2026-00241,2,HYD-PMP45,50
GRN-2026-00221,PO-2026-00241,3,HYD-FIT12,10
GRN-2026-00222,PO-2026-00242,1,PNU-CMP75,3
GRN-2026-00222,PO-2026-00242,2,PNU-CYL63,2
GRN-2026-00222,PO-2026-00242,3,PNU-FRL12,5
GRN-2026-00223,PO-2026-00243,1,PLA-PER06,2
GRN-2026-00223,PO-2026-00243,2,PLA-HDPE10,6
GRN-2026-00224,PO-2026-00244,1,PPE-GLV10,2
GRN-2026-00224,PO-2026-00244,2,PPE-HRN01,1
GRN-2026-00224,PO-2026-00244,3,PPE-BOOT8,10
