grn_number,po_number,supplier_id,receipt_date,received_by,warehouse
GRN-2026-00140,PO-2026-00149,SUP-0035,2026-03-31,O. Mthembu,WH-B Wadeville
GRN-2026-00141,PO-2026-00150,SUP-0037,2026-04-21,W. Mabaso,WH-A Sandton
GRN-2025-00142,PO-2025-00152,SUP-0010,2025-11-25,O. Mthembu,WH-A Sandton
GRN-2025-00143,PO-2025-00153,SUP-0013,2025-10-30,Z. Jacobs,WH-B Wadeville
GRN-2026-00144,PO-2026-00154,SUP-0041,2026-03-17,H. Ngobeni,WH-A Sandton
GRN-2025-00145,PO-2025-00155,SUP-0020,2025-11-28,Z. Jacobs,WH-A Sandton
GRN-2026-00146,PO-2026-00156,SUP-0031,2026-04-17,O. Mthembu,WH-B Wadeville
GRN-2026-00147,PO-2026-00157,SUP-0041,2026-01-23,Z. Jacobs,WH-A Sandton
GRN-2026-00148,PO-2026-00158,SUP-0033,2026-07-27,W. Mabaso,WH-B Wadeville
GRN-2026-00149,PO-2026-00159,SUP-0031,2026-08-18,O. Mthembu,WH-A Sandton
GRN-2025-00150,PO-2025-00160,SUP-0040,2025-11-03,E. du Plessis,WH-B Wadeville
GRN-2026-00151,PO-2026-00161,SUP-0008,2026-04-30,E. du Plessis,WH-A Sandton
GRN-2025-00152,PO-2025-00162,SUP-0003,2025-10-20,O. Mthembu,WH-A Sandton
GRN-2025-00153,PO-2025-00163,SUP-0035,2025-10-16,H. Ngobeni,WH-A Sandton
GRN-2025-00154,PO-2025-00164,SUP-0030,2025-11-24,O. Mthembu,WH-A Sandton
GRN-2026-00155,PO-2026-00166,SUP-0024,2026-07-20,O. Mthembu,WH-B Wadeville
GRN-2026-00156,PO-2026-00167,SUP-0030,2026-05-20,H. Ngobeni,WH-B Wadeville
GRN-2026-00157,PO-2026-00168,SUP-0041,2026-02-13,O. Mthembu,WH-A Sandton
GRN-2026-00158,PO-2026-00169,SUP-0020,2026-04-17,H. Ngobeni,WH-A Sandton
GRN-2026-00159,PO-2026-00170,SUP-0026,2026-08-03,Z. Jacobs,WH-B Wadeville
GRN-2026-00160,PO-2026-00171,SUP-0001,2026-07-14,Z. Jacobs,WH-B Wadeville
GRN-2025-00161,PO-2025-00172,SUP-0042,2025-11-21,H. Ngobeni,WH-A Sandton
GRN-2025-00162,PO-2025-00173,SUP-0036,2025-11-28,H. Ngobeni,WH-A Sandton
GRN-2026-00163,PO-2026-00174,SUP-0018,2026-05-05,E. du Plessis,WH-B Wadeville
GRN-2025-00164,PO-2025-00175,SUP-0035,2025-11-10,E. du Plessis,WH-B Wadeville
GRN-2025-00165,PO-2025-00176,SUP-0036,2025-11-04,H. Ngobeni,WH-B Wadeville
GRN-2025-00166,PO-2025-00177,SUP-0007,2025-10-23,W. Mabaso,WH-A Sandton
GRN-2026-00167,PO-2026-00178,SUP-0041,2026-09-02,H. Ngobeni,WH-B Wadeville
GRN-2026-00168,PO-2026-00179,SUP-0024,2026-07-13,O. Mthembu,WH-A Sandton
GRN-2026-00169,PO-2026-00180,SUP-0001,2026-08-03,O. Mthembu,WH-B Wadeville
GRN-2025-00170,PO-2025-00181,SUP-0030,2025-11-25,W. Mabaso,WH-B Wadeville
GRN-2026-00171,PO-2026-00182,SUP-0036,2026-08-10,H. Ngobeni,WH-A Sandton
GRN-2026-00172,PO-2026-00184,SUP-0016,2026-07-10,Z. Jacobs,WH-B Wadeville
GRN-2026-00173,PO-2026-00185,SUP-0011,2026-07-23,H. Ngobeni,WH-B Wadeville
GRN-2026-00174,PO-2026-00186,SUP-0024,2026-05-11,E. du Plessis,WH-B Wadeville
GRN-2026-00175,PO-2026-00187,SUP-0031,2026-05-26,W. Mabaso,WH-B Wadeville
GRN-2026-00176,PO-2025-00188,SUP-0004,2026-01-02,W. Mabaso,WH-A Sandton
GRN-2025-00177,PO-2025-00189,SUP-0029,2025-11-24,E. du Plessis,WH-A Sandton
GRN-2025-00178,PO-2025-00190,SUP-0001,2025-11-10,H. Ngobeni,WH-B Wadeville
GRN-2026-00179,PO-2026-00191,SUP-0018,2026-08-11,H. Ngobeni,WH-B Wadeville
GRN-2025-00180,PO-2025-00193,SUP-0042,2025-10-24,Z. Jacobs,WH-A Sandton
GRN-2025-00181,PO-2025-00194,SUP-0040,2025-12-01,H. Ngobeni,WH-B Wadeville
GRN-2026-00182,PO-2026-00195,SUP-0038,2026-03-26,Z. Jacobs,WH-A Sandton
GRN-2026-00183,PO-2026-00196,SUP-0003,2026-06-26,Z. Jacobs,WH-B Wadeville
GRN-2026-00184,PO-2026-00198,SUP-0040,2026-05-06,E. du Plessis,WH-A Sandton
GRN-2026-00185,PO-2025-00199,SUP-0023,2026-01-08,H. Ngobeni,WH-B Wadeville
GRN-2025-00186,PO-2025-00200,SUP-0039,2025-11-21,O. Mthembu,WH-A Sandton
GRN-2026-00187,PO-2026-00202,SUP-0034,2026-07-31,W. Mabaso,WH-B Wadeville
GRN-2025-00188,PO-2025-00203,SUP-0035,2025-12-15,W. Mabaso,WH-B Wadeville
GRN-2026-00189,PO-2026-00204,SUP-0030,2026-07-07,O. Mthembu,WH-B Wadeville
GRN-2026-00190,PO-2026-00205,SUP-0024,2026-02-02,H. Ngobeni,WH-A Sandton
GRN-2026-00191,PO-2026-00206,SUP-0026,2026-03-02,Z. Jacobs,WH-B Wadeville
GRN-2025-00192,PO-2025-00207,SUP-0006,2025-12-04,E. du Plessis,WH-A Sandton
GRN-2026-00193,PO-2026-00208,SUP-0023,2026-08-12,W. Mabaso,WH-A Sandton
GRN-2025-00194,PO-2025-00211,SUP-0041,2025-12-25,O. Mthembu,WH-A Sandton
GRN-2026-00195,PO-2026-00212,SUP-0003,2026-06-29,W. Mabaso,WH-A Sandton
GRN-2026-00196,PO-2026-00213,SUP-0031,2026-07-21,O. Mthembu,WH-B Wadeville
GRN-2026-00197,PO-2026-00214,SUP-0018,2026-06-11,W. Mabaso,WH-A Sandton
GRN-2026-00198,PO-2026-00215,SUP-0033,2026-01-23,H. Ngobeni,WH-B Wadeville
GRN-2026-00199,PO-2026-00216,SUP-0010,2026-03-23,Z. Jacobs,WH-B Wadeville
GRN-2026-00200,PO-2026-00217,SUP-0044,2026-08-28,W. Mabaso,WH-B Wadeville
GRN-2026-00201,PO-2026-00218,SUP-0006,2026-07-28,W. Mabaso,WH-A Sandton
GRN-2026-00202,PO-2026-00220,SUP-0039,2026-06-17,E. du Plessis,WH-A Sandton
GRN-2026-00203,PO-2026-00221,SUP-0030,2026-04-16,W. Mabaso,WH-A Sandton
GRN-2025-00204,PO-2025-00222,SUP-0039,2025-12-31,E. du Plessis,WH-A Sandton
GRN-2026-00205,PO-2026-00223,SUP-0033,2026-05-21,E. du Plessis,WH-B Wadeville
GRN-2026-00206,PO-2026-00225,SUP-0022,2026-05-20,O. Mthembu,WH-A Sandton
GRN-2026-00207,PO-2026-00226,SUP-0025,2026-07-08,Z. Jacobs,WH-B Wadeville
GRN-2026-00208,PO-2026-00227,SUP-0039,2026-03-10,Z. Jacobs,WH-B Wadeville
GRN-2026-00209,PO-2026-00228,SUP-0028,2026-08-25,H. Ngobeni,WH-B Wadeville
GRN-2025-00210,PO-2025-00229,SUP-0039,2025-11-03,H. Ngobeni,WH-A Sandton
GRN-2025-00211,PO-2025-00230,SUP-0003,2025-11-24,E. du Plessis,WH-B Wadeville
GRN-2025-00212,PO-2025-00231,SUP-0016,2025-12-18,E. du Plessis,WH-B Wadeville
GRN-2026-00213,PO-2026-00232,SUP-0023,2026-05-25,Z. Jacobs,WH-B Wadeville
GRN-2025-00214,PO-2025-00233,SUP-0006,2025-12-29,W. Mabaso,WH-B Wadeville
GRN-2025-00215,PO-2025-00234,SUP-0029,2025-12-29,O. Mthembu,WH-B Wadeville
GRN-2026-00216,PO-2026-00235,SUP-0043,2026-07-10,H. Ngobeni,WH-B Wadeville
GRN-2026-00217,PO-2026-00236,SUP-0042,2026-07-31,Z. Jacobs,WH-B Wadeville
GRN-2026-00218,PO-2026-00238,SUP-0004,2026-01-29,E. du Plessis,WH-A Sandton
GRN-2026-00219,PO-2026-00239,SUP-0023,2026-08-31,E. du Plessis,WH-A Sandton
GRN-2026-00220,PO-2026-00240,SUP-0016,2026-06-12,W. Mabaso,WH-A Sandton
GRN-2026-00221,PO-2026-00241,SUP-0003,2026-06-22,W. Mabaso,WH-A Sandton
GRN-2026-00222,PO-2026-00242,SUP-0012,2026-02-26,H. Ngobeni,WH-B Wadeville
GRN-2026-00223,PO-2026-00243,SUP-0039,2026-05-18,W. Mabaso,WH-A Sandton
GRN-2026-00224,PO-2026-00244,SUP-0031,2026-03-23,W. Mabaso,WH-B Wadeville
GRN-2025-00225,PO-2025-00245,SUP-0041,2025-12-17,W. Mabaso,WH-B Wadeville
GRN-2025-00226,PO-2025-00246,SUP-0034,2025-11-17,O. Mthembu,WH-B Wadeville
GRN-2025-00227,PO-2025-00247,SUP-0004,2025-12-04,Z. Jacobs,WH-A Sandton
GRN-2025-00228,PO-2025-00249,SUP-0004,2025-10-20,W. Mabaso,WH-B Wadeville
GRN-2025-00229,PO-2025-00250,SUP-0029,2025-10-22,E. du Plessis,WH-B Wadeville
GRN-2026-00230,PO-2026-00251,SUP-0010,2026-07-15,W. Mabaso,WH-A Sandton
GRN-2026-00231,PO-2026-00252,SUP-0043,2026-07-30,O. Mthembu,WH-B Wadeville
GRN-2026-00232,PO-2026-00253,SUP-0028,2026-08-17,W. Mabaso,WH-A Sandton
GRN-2026-00233,PO-2026-00254,SUP-0028,2026-04-15,E. du Plessis,WH-A Sandton
GRN-2025-00234,PO-2025-00255,SUP-0030,2025-12-04,W. Mabaso,WH-B Wadeville
GRN-2025-00235,PO-2025-00256,SUP-0042,2025-10-27,O. Mthembu,WH-A Sandton
GRN-2026-00236,PO-2026-00257,SUP-0003,2026-05-28,W. Mabaso,WH-A Sandton
GRN-2026-00237,PO-2026-00258,SUP-0002,2026-04-20,E. du Plessis,WH-B Wadeville
GRN-2026-00238,PO-2026-00259,SUP-0030,2026-08-17,O. Mthembu,WH-B Wadeville
GRN-2025-00239,PO-2025-00260,SUP-0025,2025-12-29,Z. Jacobs,WH-B Wadeville
GRN-2025-00240,PO-2025-00261,SUP-0033,2025-10-20,Z. Jacobs,WH-A Sandton
GRN-2025-00241,PO-2025-00262,SUP-0026,2025-12-29,E. du Plessis,WH-A Sandton
GRN-2025-00242,PO-2025-00263,SUP-0031,2025-11-17,W. Mabaso,WH-A Sandton
GRN-2026-00243,PO-2026-00264,SUP-0002,2026-09-07,Z. Jacobs,WH-A Sandton
GRN-2026-00244,PO-2026-00265,SUP-0039,2026-08-05,W. Mabaso,WH-B Wadeville
GRN-2025-00245,PO-2025-00266,SUP-0008,2025-10-09,H. Ngobeni,WH-A Sandton
GRN-2026-00246,PO-2026-00267,SUP-0005,2026-02-25,H. Ngobeni,WH-B Wadeville
GRN-2026-00247,PO-2026-00268,SUP-0012,2026-06-22,E. du Plessis,WH-B Wadeville
GRN-2026-00248,PO-2025-00269,SUP-0045,2026-01-12,W. Mabaso,WH-B Wadeville
GRN-2026-00249,PO-2026-00270,SUP-0033,2026-06-15,W. Mabaso,WH-B Wadeville
GRN-2025-00250,PO-2025-00271,SUP-0015,2025-12-22,O. Mthembu,WH-A Sandton
GRN-2026-00251,PO-2026-00272,SUP-0037,2026-01-12,H. Ngobeni,WH-B Wadeville
GRN-2026-00252,PO-2026-00273,SUP-0034,2026-06-29,H. Ngobeni,WH-A Sandton
GRN-2026-00253,PO-2026-00275,SUP-0036,2026-05-27,W. Mabaso,WH-A Sandton
GRN-2025-00254,PO-2025-00276,SUP-0024,2025-12-08,E. du Plessis,WH-A Sandton
GRN-2025-00255,PO-2025-00277,SUP-0006,2025-11-03,W. Mabaso,WH-A Sandton
GRN-2025-00256,PO-2025-00278,SUP-0013,2025-11-10,H. Ngobeni,WH-A Sandton
GRN-2026-00257,PO-2026-00279,SUP-0045,2026-08-18,Z. Jacobs,WH-A Sandton
GRN-2026-00258,PO-2026-00280,SUP-0035,2026-05-08,Z. Jacobs,WH-B Wadeville
GRN-2026-00259,PO-2026-00281,SUP-0039,2026-01-23,H. Ngobeni,WH-A Sandton
GRN-2026-00260,PO-2026-00282,SUP-0039,2026-03-23,W. Mabaso,WH-B Wadeville
GRN-2025-00261,PO-2025-00283,SUP-0022,2025-12-15,Z. Jacobs,WH-B Wadeville
GRN-2026-00262,PO-2026-00284,SUP-0018,2026-06-08,E. du Plessis,WH-B Wadeville
GRN-2026-00263,PO-2026-00285,SUP-0044,2026-02-20,W. Mabaso,WH-A Sandton
GRN-2025-00264,PO-2025-00286,SUP-0045,2025-12-01,Z. Jacobs,WH-B Wadeville
GRN-2026-00265,PO-2026-00287,SUP-0002,2026-07-27,W. Mabaso,WH-A Sandton
GRN-2025-00266,PO-2025-00288,SUP-0020,2025-12-22,H. Ngobeni,WH-A Sandton
GRN-2026-00267,PO-2026-00289,SUP-0006,2026-04-13,H. Ngobeni,WH-B Wadeville
GRN-2026-00268,PO-2026-00290,SUP-0038,2026-09-08,Z. Jacobs,WH-A Sandton
GRN-2026-00269,PO-2026-00291,SUP-0040,2026-07-13,E. du Plessis,WH-B Wadeville
GRN-2026-00270,PO-2026-00292,SUP-0036,2026-06-15,E. du Plessis,WH-A Sandton
GRN-2026-00271,PO-2026-00293,SUP-0044,2026-04-16,Z. Jacobs,WH-A Sandton
GRN-2026-00272,PO-2026-00295,SUP-0003,2026-08-21,Z. Jacobs,WH-A Sandton
GRN-2026-00273,PO-2026-00296,SUP-0042,2026-08-03,H. Ngobeni,WH-A Sandton
