po_number,line_no,item_code,description,qty_ordered,unit_price_ex_vat,line_total_ex_vat
PO-2026-00014,1,DRV-SPB2120,SPB section V belt 2120mm,50,364.71,18235.5
PO-2025-00015,1,PLA-HDPE10,HDPE sheet 10mm 1000 x 2000,25,3896.15,97403.75
PO-2026-00016,1,STL-PL6MS,Mild steel plate 6mm 1000 x 2000,6,2918.0,17508.0
PO-2026-00016,2,STL-ANG40,Equal angle 40 x 40 x 5mm 6m,1,754.83,754.83
PO-2025-00017,1,TLS-TRQ34,Torque wrench 3/4 drive 100 to 500Nm,2,5899.58,11799.16
PO-2026-00018,1,REF-CMP15,Refrigeration compressor 15HP semi hermetic,25,40501.33,1012533.25
PO-2026-00018,2,REF-GAS404,Refrigerant R404a 10kg cylinder,3,7392.2,22176.6
PO-2025-00019,1,PPE-BOOT8,Safety boot steel toe size 8 pair,5,668.72,3343.6
PO-2025-00020,1,FST-ANC12,Chemical anchor stud M12 x 160,1,61.72,61.72
PO-2026-00021,1,STL-RD304,Stainless round bar 304 20mm 6m,5,2554.2,12771.0
PO-2026-00021,2,STL-ANG40,Equal angle 40 x 40 x 5mm 6m,5,611.61,3058.05
PO-2026-00021,3,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,6,972.62,5835.72
PO-2026-00022,1,SEL-OIL45,Oil seal 45 x 65 x 10 nitrile,8,88.84,710.72
PO-2025-00023,1,PLA-HDPE10,HDPE sheet 10mm 1000 x 2000,8,4219.96,33759.68
PO-2026-00024,1,WLD-MIG08,MIG wire 0.8mm 15kg spool,3,1385.56,4156.68
PO-2026-00024,2,WLD-HLM01,Auto darkening welding helmet,1,1997.69,1997.69
PO-2026-00024,3,WLD-E6013,Welding electrode E6013 3.2mm 5kg,4,542.98,2171.92
PO-2026-00025,1,PIP-GAL50,Galvanised pipe 50mm medium 6m,8,1326.01,10608.08
PO-2026-00026,1,PPE-BOOT8,Safety boot steel toe size 8 pair,12,471.47,5657.64
PO-2026-00026,2,PPE-GLV10,Cut resistant glove level 5 pair,25,178.65,4466.25
PO-2026-00027,1,STL-ANG40,Equal angle 40 x 40 x 5mm 6m,12,813.85,9766.2
PO-2026-00027,2,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,1,1129.27,1129.27
PO-2026-00027,3,STL-PL6MS,Mild steel plate 6mm 1000 x 2000,25,2557.7,63942.5
PO-2025-00028,1,INS-TMP01,PT100 temperature probe with head,4,1279.76,5119.04
PO-2025-00029,1,SEL-ORK01,O ring kit nitrile 382 piece,20,976.88,19537.6
PO-2026-00030,1,SEL-ORK01,O ring kit nitrile 382 piece,2,1502.51,3005.02
PO-2026-00030,2,SEL-OIL45,Oil seal 45 x 65 x 10 nitrile,1,110.25,110.25
PO-2026-00031,1,INS-TMP01,PT100 temperature probe with head,2,1369.84,2739.68
PO-2025-00032,1,LUB-EP220,Gear oil EP220 208 litre drum,5,13212.89,66064.45
PO-2026-00033,1,BRG-22216,Spherical roller bearing 22216 E,25,3081.32,77033.0
PO-2026-00033,2,DRV-SPB2120,SPB section V belt 2120mm,1,343.55,343.55
PO-2025-00034,1,MHD-FRK25,Forklift fork 2500kg pair class 2,3,11763.95,35291.85
PO-2026-00035,1,TLS-DRL18,Cordless drill 18V two battery kit,2,3812.75,7625.5
PO-2026-00035,2,TLS-GRN230,Angle grinder 230mm 2400W,2,3123.34,6246.68
PO-2026-00035,3,TLS-TRQ34,Torque wrench 3/4 drive 100 to 500Nm,2,4226.49,8452.98
PO-2026-00036,1,HYD-FIT12,Swaged fitting 1/2 BSP male,1,94.04,94.04
PO-2025-00037,1,PPE-BOOT8,Safety boot steel toe size 8 pair,8,665.04,5320.32
PO-2025-00037,2,PPE-GLV10,Cut resistant glove level 5 pair,1,132.1,132.1
PO-2025-00038,1,REF-GAS404,Refrigerant R404a 10kg cylinder,2,5771.64,11543.28
PO-2025-00039,1,HYD-FIT12,Swaged fitting 1/2 BSP male,2,90.06,180.12
PO-2025-00039,2,HYD-2SN12,Hydraulic hose 2SN 1/2 inch per metre,10,259.43,2594.3
PO-2025-00039,3,HYD-CYL80,Hydraulic cylinder 80 bore 400 stroke,12,11106.24,133274.88
PO-2025-00039,4,HYD-PMP45,Gear pump 45cc SAE B,4,8853.52,35414.08
PO-2026-00040,1,BRG-22216,Spherical roller bearing 22216 E,1,4078.83,4078.83
PO-2026-00040,2,DRV-SPB2120,SPB section V belt 2120mm,6,347.51,2085.06
PO-2026-00040,3,BRG-6205,Deep groove ball bearing 6205 2RS,3,693.55,2080.65
PO-2026-00040,4,DRV-TL2517,Taper lock bush 2517 x 45mm,1,683.06,683.06
PO-2026-00041,1,PIP-GAL50,Galvanised pipe 50mm medium 6m,8,1335.19,10681.52
PO-2026-00041,2,PIP-FLG80,Slip on flange 80mm table D,4,644.64,2578.56
PO-2026-00042,1,PNU-CMP75,Screw compressor service kit 7.5kW,25,6775.55,169388.75
PO-2026-00042,2,PNU-FRL12,Filter regulator lubricator 1/2 inch,25,1476.11,36902.75
PO-2025-00043,1,HYD-2SN12,Hydraulic hose 2SN 1/2 inch per metre,50,236.58,11829.0
PO-2025-00043,2,HYD-CYL80,Hydraulic cylinder 80 bore 400 stroke,2,11880.05,23760.1
PO-2025-00043,3,HYD-FIT12,Swaged fitting 1/2 BSP male,10,159.8,1598.0
PO-2025-00043,4,HYD-PMP45,Gear pump 45cc SAE B,2,5498.35,10996.7
PO-2026-00044,1,REF-CMP15,Refrigeration compressor 15HP semi hermetic,5,37579.25,187896.25
PO-2026-00044,2,REF-GAS404,Refrigerant R404a 10kg cylinder,2,6280.52,12561.04
PO-2026-00045,1,STL-PL6MS,Mild steel plate 6mm 1000 x 2000,3,3024.53,9073.59
PO-2026-00045,2,STL-RD304,Stainless round bar 304 20mm 6m,4,2586.12,10344.48
PO-2026-00045,3,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,2,728.65,1457.3
PO-2026-00046,1,HYD-CYL80,Hydraulic cylinder 80 bore 400 stroke,10,6946.71,69467.1
PO-2026-00046,2,HYD-2SN12,Hydraulic hose 2SN 1/2 inch per metre,2,169.36,338.72
PO-2025-00047,1,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,3,993.49,2980.47
PO-2025-00047,2,STL-ANG40,Equal angle 40 x 40 x 5mm 6m,6,891.0,5346.0
PO-2025-00047,3,STL-PL6MS,Mild steel plate 6mm 1000 x 2000,8,2961.97,23695.76
PO-2025-00047,4,STL-RD304,Stainless round bar 304 20mm 6m,50,2538.01,126900.5
PO-2026-00048,1,SEL-OIL45,Oil seal 45 x 65 x 10 nitrile,4,125.96,503.84
PO-2026-00048,2,SEL-GSK150,Full face gasket 150mm rubber insertion,6,146.87,881.22
PO-2026-00048,3,SEL-ORK01,O ring kit nitrile 382 piece,8,1334.66,10677.28
PO-2026-00049,1,HDW-PDL50,Brass padlock 50mm keyed alike,2,235.56,471.12
PO-2026-00049,2,HDW-CST100,Swivel castor 100mm braked,1,257.01,257.01
PO-2026-00050,1,PPE-GLV10,Cut resistant glove level 5 pair,4,116.01,464.04
PO-2025-00051,1,FST-NUTM12,Hex nut M12 grade 8 box of 200,4,410.44,1641.76
PO-2025-00051,2,FST-ANC12,Chemical anchor stud M12 x 160,1,77.02,77.02
PO-2025-00051,3,FST-M12X60,Hex bolt M12 x 60 grade 8.8 box of 100,2,1319.66,2639.32
PO-2026-00052,1,ELE-CB63,Circuit breaker 63A triple pole,10,855.01,8550.1
PO-2026-00052,2,ELE-CON40,Contactor 40A 230V coil,50,1338.77,66938.5
PO-2026-00053,1,PIP-FLG80,Slip on flange 80mm table D,1,459.2,459.2
PO-2025-00054,1,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,2,1015.58,2031.16
PO-2025-00054,2,STL-PL6MS,Mild steel plate 6mm 1000 x 2000,10,2452.33,24523.3
PO-2025-00054,3,STL-RD304,Stainless round bar 304 20mm 6m,2,2404.89,4809.78
PO-2025-00054,4,STL-ANG40,Equal angle 40 x 40 x 5mm 6m,1,876.35,876.35
PO-2026-00055,1,INS-PRS16,Pressure transmitter 0 to 16 bar 4 to 20mA,2,5444.91,10889.82
PO-2026-00055,2,INS-TMP01,PT100 temperature probe with head,12,1181.95,14183.4
PO-2025-00056,1,TLS-TRQ34,Torque wrench 3/4 drive 100 to 500Nm,10,4684.98,46849.8
PO-2025-00056,2,TLS-DRL18,Cordless drill 18V two battery kit,25,4565.33,114133.25
PO-2025-00056,3,TLS-GRN230,Angle grinder 230mm 2400W,1,2218.43,2218.43
PO-2026-00057,1,PIP-GAL50,Galvanised pipe 50mm medium 6m,4,1688.03,6752.12
PO-2026-00057,2,PIP-FLG80,Slip on flange 80mm table D,2,448.08,896.16
PO-2026-00058,1,INS-TMP01,PT100 temperature probe with head,8,2146.94,17175.52
PO-2026-00059,1,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,3,837.0,2511.0
PO-2026-00060,1,SEL-GSK150,Full face gasket 150mm rubber insertion,1,269.57,269.57
PO-2025-00061,1,VLV-BF100,Butterfly valve 100mm lever operated,1,3182.58,3182.58
PO-2026-00062,1,BRG-22216,Spherical roller bearing 22216 E,10,2101.13,21011.3
PO-2026-00062,2,DRV-TL2517,Taper lock bush 2517 x 45mm,8,685.61,5484.88
PO-2026-00062,3,DRV-SPB2120,SPB section V belt 2120mm,3,228.93,686.79
PO-2026-00062,4,BRG-6205,Deep groove ball bearing 6205 2RS,12,342.77,4113.24
PO-2025-00063,1,REF-GAS404,Refrigerant R404a 10kg cylinder,2,7290.73,14581.46
PO-2026-00064,1,FST-ANC12,Chemical anchor stud M12 x 160,3,65.51,196.53
PO-2026-00064,2,FST-M12X60,Hex bolt M12 x 60 grade 8.8 box of 100,10,1442.23,14422.3
PO-2026-00064,3,FST-NUTM12,Hex nut M12 grade 8 box of 200,8,643.46,5147.68
PO-2025-00065,1,REF-GAS404,Refrigerant R404a 10kg cylinder,25,7392.99,184824.75
PO-2025-00066,1,PPE-GLV10,Cut resistant glove level 5 pair,1,145.19,145.19
PO-2026-00067,1,MHD-FRK25,Forklift fork 2500kg pair class 2,1,10238.48,10238.48
PO-2026-00068,1,PIP-FLG80,Slip on flange 80mm table D,2,448.14,896.28
PO-2026-00068,2,PIP-GAL50,Galvanised pipe 50mm medium 6m,4,1538.48,6153.92
PO-2026-00069,1,PLA-PER06,Perspex sheet 6mm 1000 x 2000,12,2013.68,24164.16
PO-2026-00069,2,PLA-HDPE10,HDPE sheet 10mm 1000 x 2000,25,3560.95,89023.75
PO-2026-00070,1,MTR-REW11,Motor rewind 11kW including bearings,5,7883.42,39417.1
PO-2026-00070,2,MTR-55KW4,Electric motor 5.5kW 4 pole foot mount,4,10760.42,43041.68
PO-2026-00071,1,INS-PRS16,Pressure transmitter 0 to 16 bar 4 to 20mA,6,5634.72,33808.32
PO-2026-00071,2,INS-TMP01,PT100 temperature probe with head,2,1261.53,2523.06
PO-2026-00072,1,DRV-TL2517,Taper lock bush 2517 x 45mm,10,521.71,5217.1
PO-2026-00073,1,DRV-TL2517,Taper lock bush 2517 x 45mm,12,493.5,5922.0
PO-2026-00073,2,BRG-22216,Spherical roller bearing 22216 E,1,3147.6,3147.6
PO-2026-00074,1,ELE-CB63,Circuit breaker 63A triple pole,1,954.1,954.1
PO-2026-00074,2,ELE-CON40,Contactor 40A 230V coil,25,1463.34,36583.5
PO-2026-00074,3,ELE-SWA4C,SWA cable 4 core 16mm per metre,20,271.04,5420.8
PO-2026-00074,4,ELE-BAT100,Deep cycle battery 100Ah,4,2922.22,11688.88
PO-2026-00075,1,PNT-PRM20,Zinc phosphate primer 20 litre,5,2664.01,13320.05
PO-2026-00075,2,PNT-EPX20,Two pack epoxy enamel 20 litre,4,4542.05,18168.2
PO-2025-00076,1,INS-TMP01,PT100 temperature probe with head,2,2019.78,4039.56
PO-2025-00076,2,INS-PRS16,Pressure transmitter 0 to 16 bar 4 to 20mA,1,5207.02,5207.02
PO-2026-00077,1,FST-M12X60,Hex bolt M12 x 60 grade 8.8 box of 100,12,935.75,11229.0
PO-2026-00077,2,FST-NUTM12,Hex nut M12 grade 8 box of 200,4,410.85,1643.4
PO-2026-00078,1,ABR-CUT230,Cutting disc 230 x 3 x 22 box of 25,1,825.23,825.23
PO-2026-00079,1,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,12,1008.29,12099.48
PO-2026-00080,1,MTR-REW11,Motor rewind 11kW including bearings,2,11747.49,23494.98
PO-2026-00081,1,ELE-CON40,Contactor 40A 230V coil,1,918.2,918.2
PO-2026-00081,2,ELE-BAT100,Deep cycle battery 100Ah,1,2846.6,2846.6
PO-2026-00081,3,ELE-CB63,Circuit breaker 63A triple pole,20,675.39,13507.8
PO-2026-00082,1,PPE-HRN01,Full body safety harness double lanyard,12,2215.84,26590.08
PO-2026-00083,1,STL-PL6MS,Mild steel plate 6mm 1000 x 2000,4,2762.75,11051.0
PO-2026-00084,1,PLA-HDPE10,HDPE sheet 10mm 1000 x 2000,4,3869.28,15477.12
PO-2026-00084,2,PLA-PER06,Perspex sheet 6mm 1000 x 2000,8,2557.23,20457.84
PO-2026-00085,1,PPE-HAT01,Hard hat vented with ratchet,3,109.35,328.05
PO-2026-00085,2,PPE-BOOT8,Safety boot steel toe size 8 pair,3,474.73,1424.19
PO-2026-00086,1,REF-CMP15,Refrigeration compressor 15HP semi hermetic,6,27187.0,163122.0
PO-2026-00087,1,HYD-PMP45,Gear pump 45cc SAE B,2,9038.66,18077.32
PO-2026-00087,2,HYD-2SN12,Hydraulic hose 2SN 1/2 inch per metre,1,222.63,222.63
PO-2026-00088,1,REF-GAS404,Refrigerant R404a 10kg cylinder,20,6133.9,122678.0
PO-2026-00088,2,REF-CMP15,Refrigeration compressor 15HP semi hermetic,50,37065.58,1853279.0
PO-2026-00089,1,MTR-REW11,Motor rewind 11kW including bearings,20,9879.71,197594.2
PO-2026-00089,2,MTR-55KW4,Electric motor 5.5kW 4 pole foot mount,5,8880.65,44403.25
PO-2026-00090,1,MHD-SLG03,Webbing sling 3 ton 4 metre,1,1237.46,1237.46
PO-2026-00090,2,MHD-FRK25,Forklift fork 2500kg pair class 2,3,11936.14,35808.42
PO-2025-00091,1,ELE-CB63,Circuit breaker 63A triple pole,4,750.28,3001.12
PO-2025-00091,2,ELE-SWA4C,SWA cable 4 core 16mm per metre,3,249.37,748.11
PO-2026-00092,1,TLS-GRN230,Angle grinder 230mm 2400W,1,3687.1,3687.1
PO-2026-00092,2,TLS-DRL18,Cordless drill 18V two battery kit,2,2626.95,5253.9
PO-2026-00092,3,TLS-TRQ34,Torque wrench 3/4 drive 100 to 500Nm,25,4988.52,124713.0
PO-2026-00093,1,MHD-FRK25,Forklift fork 2500kg pair class 2,10,14341.49,143414.9
PO-2026-00093,2,MHD-SLG03,Webbing sling 3 ton 4 metre,3,887.74,2663.22
PO-2026-00094,1,INS-PRS16,Pressure transmitter 0 to 16 bar 4 to 20mA,20,7111.08,142221.6
PO-2026-00095,1,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,3,875.09,2625.27
PO-2026-00095,2,STL-ANG40,Equal angle 40 x 40 x 5mm 6m,5,628.94,3144.7
PO-2026-00095,3,STL-PL6MS,Mild steel plate 6mm 1000 x 2000,2,2618.1,5236.2
PO-2026-00096,1,SEL-GSK150,Full face gasket 150mm rubber insertion,50,198.07,9903.5
PO-2026-00097,1,SEL-ORK01,O ring kit nitrile 382 piece,3,1065.53,3196.59
PO-2026-00097,2,SEL-OIL45,Oil seal 45 x 65 x 10 nitrile,6,106.36,638.16
PO-2026-00098,1,HDW-PDL50,Brass padlock 50mm keyed alike,1,187.59,187.59
PO-2026-00098,2,HDW-CST100,Swivel castor 100mm braked,8,283.45,2267.6
PO-2026-00099,1,HYD-FIT12,Swaged fitting 1/2 BSP male,20,122.87,2457.4
PO-2025-00100,1,HYD-FIT12,Swaged fitting 1/2 BSP male,25,181.27,4531.75
PO-2025-00101,1,PLA-PER06,Perspex sheet 6mm 1000 x 2000,20,2693.36,53867.2
PO-2025-00101,2,PLA-HDPE10,HDPE sheet 10mm 1000 x 2000,4,3725.93,14903.72
PO-2026-00102,1,MHD-FRK25,Forklift fork 2500kg pair class 2,3,13406.72,40220.16
PO-2026-00102,2,MHD-SLG03,Webbing sling 3 ton 4 metre,8,1114.67,8917.36
PO-2026-00103,1,HDW-PDL50,Brass padlock 50mm keyed alike,8,251.24,2009.92
PO-2026-00103,2,HDW-CST100,Swivel castor 100mm braked,10,304.79,3047.9
PO-2026-00104,1,PNU-CMP75,Screw compressor service kit 7.5kW,2,4762.92,9525.84
PO-2026-00104,2,PNU-FRL12,Filter regulator lubricator 1/2 inch,1,2218.43,2218.43
PO-2026-00104,3,PNU-CYL63,Pneumatic cylinder 63 bore 200 stroke,2,2727.84,5455.68
PO-2026-00105,1,MHD-FRK25,Forklift fork 2500kg pair class 2,10,14858.42,148584.2
PO-2026-00105,2,MHD-SLG03,Webbing sling 3 ton 4 metre,2,1152.9,2305.8
PO-2026-00106,1,HDW-CST100,Swivel castor 100mm braked,1,264.44,264.44
PO-2026-00107,1,ELE-CON40,Contactor 40A 230V coil,4,1691.48,6765.92
PO-2026-00108,1,HDW-CST100,Swivel castor 100mm braked,2,409.59,819.18
PO-2026-00108,2,HDW-PDL50,Brass padlock 50mm keyed alike,6,224.16,1344.96
PO-2025-00109,1,CNV-BLT650,Conveyor belting 650mm 3 ply per metre,4,1267.53,5070.12
PO-2025-00109,2,CNV-PUL400,Drum pulley 400mm lagged,20,10808.97,216179.4
PO-2025-00109,3,CNV-IDL152,Trough idler set 152mm 650 belt,8,1687.48,13499.84
PO-2026-00110,1,FST-NUTM12,Hex nut M12 grade 8 box of 200,20,727.44,14548.8
PO-2026-00111,1,PNU-FRL12,Filter regulator lubricator 1/2 inch,1,2023.88,2023.88
PO-2026-00111,2,PNU-CMP75,Screw compressor service kit 7.5kW,25,4601.24,115031.0
PO-2025-00112,1,HYD-CYL80,Hydraulic cylinder 80 bore 400 stroke,3,7047.89,21143.67
PO-2025-00112,2,HYD-FIT12,Swaged fitting 1/2 BSP male,1,151.25,151.25
PO-2025-00112,3,HYD-PMP45,Gear pump 45cc SAE B,1,8658.63,8658.63
PO-2026-00113,1,PNT-PRM20,Zinc phosphate primer 20 litre,5,2975.49,14877.45
PO-2026-00113,2,PNT-EPX20,Two pack epoxy enamel 20 litre,4,3717.74,14870.96
PO-2026-00114,1,PKG-PLT12,Pallet wrap 500mm 20 micron roll,20,194.3,3886.0
PO-2026-00114,2,PKG-STR48,Strapping band 16mm x 1000m,8,979.46,7835.68
PO-2026-00115,1,REF-GAS404,Refrigerant R404a 10kg cylinder,1,6239.6,6239.6
PO-2026-00115,2,REF-CMP15,Refrigeration compressor 15HP semi hermetic,5,28686.31,143431.55
PO-2026-00116,1,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,4,975.33,3901.32
PO-2025-00117,1,MTR-REW11,Motor rewind 11kW including bearings,6,8551.81,51310.86
PO-2025-00117,2,MTR-55KW4,Electric motor 5.5kW 4 pole foot mount,5,9263.86,46319.3
PO-2026-00118,1,HYD-2SN12,Hydraulic hose 2SN 1/2 inch per metre,2,310.22,620.44
PO-2026-00118,2,HYD-CYL80,Hydraulic cylinder 80 bore 400 stroke,2,9756.16,19512.32
PO-2025-00119,1,WLD-E6013,Welding electrode E6013 3.2mm 5kg,3,398.52,1195.56
PO-2025-00120,1,HYD-CYL80,Hydraulic cylinder 80 bore 400 stroke,3,8376.96,25130.88
PO-2025-00120,2,HYD-PMP45,Gear pump 45cc SAE B,1,7913.03,7913.03
PO-2026-00121,1,CHM-RUS05,Rust converter 5 litre,4,711.69,2846.76
PO-2026-00121,2,CHM-DEG25,Industrial degreaser 25 litre,20,1768.14,35362.8
PO-2026-00122,1,FST-NUTM12,Hex nut M12 grade 8 box of 200,4,508.77,2035.08
PO-2026-00122,2,FST-ANC12,Chemical anchor stud M12 x 160,10,89.09,890.9
PO-2026-00123,1,BRG-22216,Spherical roller bearing 22216 E,20,2251.31,45026.2
PO-2026-00124,1,VLV-GT80,Gate valve 80mm flanged,20,3523.03,70460.6
PO-2026-00124,2,VLV-BF100,Butterfly valve 100mm lever operated,10,2574.8,25748.0
PO-2026-00125,1,FST-M12X60,Hex bolt M12 x 60 grade 8.8 box of 100,3,1123.3,3369.9
PO-2026-00125,2,FST-NUTM12,Hex nut M12 grade 8 box of 200,8,800.89,6407.12
PO-2026-00125,3,FST-ANC12,Chemical anchor stud M12 x 160,50,57.35,2867.5
PO-2025-00126,1,TLS-TRQ34,Torque wrench 3/4 drive 100 to 500Nm,6,3531.53,21189.18
PO-2026-00127,1,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,2,919.45,1838.9
PO-2026-00127,2,STL-RD304,Stainless round bar 304 20mm 6m,4,1560.87,6243.48
PO-2026-00127,3,STL-PL6MS,Mild steel plate 6mm 1000 x 2000,4,2829.76,11319.04
PO-2026-00128,1,CHM-RUS05,Rust converter 5 litre,4,1175.9,4703.6
PO-2026-00128,2,CHM-DEG25,Industrial degreaser 25 litre,4,1774.65,7098.6
PO-2025-00129,1,SEL-ORK01,O ring kit nitrile 382 piece,12,1390.11,16681.32
PO-2026-00130,1,CNV-BLT650,Conveyor belting 650mm 3 ply per metre,3,1287.51,3862.53
PO-2026-00130,2,CNV-PUL400,Drum pulley 400mm lagged,2,8368.34,16736.68
PO-2026-00130,3,CNV-IDL152,Trough idler set 152mm 650 belt,25,1910.62,47765.5
PO-2025-00131,1,PPE-HRN01,Full body safety harness double lanyard,3,2339.59,7018.77
PO-2025-00131,2,PPE-BOOT8,Safety boot steel toe size 8 pair,1,694.78,694.78
PO-2025-00131,3,PPE-GLV10,Cut resistant glove level 5 pair,2,162.36,324.72
PO-2025-00131,4,PPE-HAT01,Hard hat vented with ratchet,4,103.08,412.32
PO-2026-00132,1,BRG-22216,Spherical roller bearing 22216 E,10,2255.19,22551.9
PO-2026-00132,2,BRG-6205,Deep groove ball bearing 6205 2RS,1,684.11,684.11
PO-2026-00132,3,DRV-SPB2120,SPB section V belt 2120mm,10,367.15,3671.5
PO-2026-00133,1,WLD-MIG08,MIG wire 0.8mm 15kg spool,2,1369.59,2739.18
PO-2026-00134,1,CNV-IDL152,Trough idler set 152mm 650 belt,10,1627.84,16278.4
PO-2026-00135,1,HYD-CYL80,Hydraulic cylinder 80 bore 400 stroke,1,11463.26,11463.26
PO-2026-00135,2,HYD-2SN12,Hydraulic hose 2SN 1/2 inch per metre,1,227.62,227.62
PO-2026-00135,3,HYD-FIT12,Swaged fitting 1/2 BSP male,4,171.64,686.56
PO-2026-00135,4,HYD-PMP45,Gear pump 45cc SAE B,1,5698.65,5698.65
PO-2026-00136,1,MTR-55KW4,Electric motor 5.5kW 4 pole foot mount,50,10650.3,532515.0
PO-2026-00136,2,MTR-REW11,Motor rewind 11kW including bearings,6,8491.81,50950.86
PO-2026-00137,1,VLV-GT80,Gate valve 80mm flanged,4,3551.75,14207.0
PO-2026-00138,1,BRG-22216,Spherical roller bearing 22216 E,5,3531.21,17656.05
PO-2026-00138,2,DRV-SPB2120,SPB section V belt 2120mm,3,277.1,831.3
PO-2025-00139,1,FST-NUTM12,Hex nut M12 grade 8 box of 200,4,458.38,1833.52
PO-2025-00139,2,FST-M12X60,Hex bolt M12 x 60 grade 8.8 box of 100,50,1180.63,59031.5
PO-2026-00140,1,WLD-MIG08,MIG wire 0.8mm 15kg spool,2,1102.1,2204.2
PO-2026-00140,2,WLD-E6013,Welding electrode E6013 3.2mm 5kg,8,480.37,3842.96
PO-2026-00141,1,PPE-HAT01,Hard hat vented with ratchet,8,146.6,1172.8
PO-2026-00141,2,PPE-HRN01,Full body safety harness double lanyard,50,2499.42,124971.0
PO-2026-00141,3,PPE-BOOT8,Safety boot steel toe size 8 pair,20,606.87,12137.4
PO-2025-00142,1,MHD-SLG03,Webbing sling 3 ton 4 metre,10,1310.84,13108.4
PO-2025-00142,2,MHD-FRK25,Forklift fork 2500kg pair class 2,1,13372.98,13372.98
PO-2026-00143,1,FST-M12X60,Hex bolt M12 x 60 grade 8.8 box of 100,12,923.68,11084.16
PO-2026-00144,1,CNV-BLT650,Conveyor belting 650mm 3 ply per metre,2,1368.68,2737.36
PO-2026-00144,2,CNV-IDL152,Trough idler set 152mm 650 belt,5,2573.9,12869.5
PO-2026-00144,3,CNV-PUL400,Drum pulley 400mm lagged,10,9893.66,98936.6
PO-2025-00145,1,HDW-PDL50,Brass padlock 50mm keyed alike,3,275.21,825.63
PO-2026-00146,1,PMP-CEN55,Centrifugal pump 5.5kW end suction,1,26611.16,26611.16
PO-2025-00147,1,WLD-MIG08,MIG wire 0.8mm 15kg spool,12,1024.16,12289.92
PO-2026-00148,1,HYD-FIT12,Swaged fitting 1/2 BSP male,8,121.09,968.72
PO-2026-00148,2,HYD-2SN12,Hydraulic hose 2SN 1/2 inch per metre,3,294.93,884.79
