invoice_id,pdf_file,invoice_number,supplier_name,supplier_id,po_number,invoice_date,due_date,subtotal_ex_vat,vat_amount,total_incl_vat,processing_status,extraction_method,extraction_confidence,exceptions_raised,value_at_risk,net_exposure
INV-00208,INV-00208.pdf,004170,Salt River Marine Fittings (Pty) Ltd,SUP-0045,PO-2025-00491,2025-12-31,2026-01-30,44744.96,6711.74,51456.7,exception,rules_fallback,0.72,2,51870.159999999996,51870.16
INV-00253,INV-00253.pdf,003001,Midrand Bearing Supplies (Pty) Ltd,SUP-0001,PO-2025-00424,2025-12-10,2026-02-08,44267.11,6640.07,50907.18,exception,rules_fallback,0.72,1,50907.18,50907.18
INV-00184,INV-00184.pdf,INV2604267,Modderfontein Chemicals (Pty) Ltd,SUP-0023,PO-2026-00121,2026-06-01,2026-07-01,38209.56,5731.43,38209.56,exception,rules_fallback,0.72,2,43940.99,43940.99
INV-00042,INV-00042.pdf,INV2637183,Kempton Cable Works (Pty) Ltd,SUP-0014,,2026-01-30,2026-03-01,19005.63,2850.84,21856.47,exception,rules_fallback,0.72,2,43712.94,21856.47
INV-00064,INV-00064.pdf,INV2677836,Protea Hydraulics (Pty) Ltd,SUP-0003,,2026-05-06,2026-06-05,36787.02,5518.05,36787.02,exception,rules_fallback,0.72,2,42305.07,36787.02
INV-00071,INV-00071.pdf,INV2607617,Crown Mines Motor Spares (Pty) Ltd,SUP-0042,PO-2026-00402,2026-04-10,2026-06-09,257753.75,38663.06,257753.75,exception,rules_fallback,0.72,1,38663.06,38663.06
INV-00032,INV-00032.pdf,006744,City Deep Cold Storage Spares (Pty) Ltd,SUP-0041,PO-2026-00168,2026-02-19,2026-04-20,241825.6,36273.84,241825.6,exception,rules_fallback,0.72,1,36273.84,36273.84
INV-00236,INV-00236.pdf,INV2602769,Village Main Instruments (Pty) Ltd,SUP-0044,PO-2026-00002,2026-07-04,2026-07-04,238595.5,35789.33,274384.83,exception,rules_fallback,0.72,1,35789.33,35789.33
INV-00192,INV-00192.pdf,SI2606742,City Deep Cold Storage Spares (Pty) Ltd,SUP-0041,PO-2026-00178,2026-11-09,2026-11-09,229842.56,34476.38,264318.94,exception,rules_fallback,0.72,1,34476.38,34476.38
INV-00280,INV-00280.pdf,TI2606723,City Deep Cold Storage Spares (Pty) Ltd,SUP-0041,PO-2026-00157,2026-01-27,2026-03-28,29756.77,4463.52,34220.29,exception,rules_fallback,0.72,1,34220.29,34220.29
INV-00248,INV-00248.pdf,005359,Cape Conveyor Systems (Pty) Ltd,SUP-0007,PO-2025-00109,2025-11-07,2025-12-07,227999.44,34199.92,227999.44,exception,rules_fallback,0.72,2,34199.92,34199.92
INV-00268,INV-00268.pdf,INV2640453,Randburg Instrumentation (Pty) Ltd,SUP-0024,PO-2026-00001,2026-07-23,2026-07-23,23550.48,3532.57,27083.05,exception,rules_fallback,0.72,2,30615.62,27083.05
INV-00137,INV-00137.pdf,INV2606738,City Deep Cold Storage Spares (Pty) Ltd,SUP-0041,PO-2026-00336,2026-10-09,2026-10-09,201150.25,30172.54,231322.79,exception,rules_fallback,0.72,1,30172.54,30172.54
INV-00277,INV-00277.pdf,INV2605842,Roodepoort Motor Rewinds (Pty) Ltd,SUP-0017,PO-2026-00328,2026-05-20,2026-07-04,23358.96,3503.84,26862.8,exception,rules_fallback,0.72,2,29281.8,29281.8
INV-00080,INV-00080.pdf,SI2605125,Booysens Battery Centre (Pty) Ltd,SUP-0036,PO-2026-00292,2026-06-16,2026-07-16,25203.72,3780.56,28984.28,exception,rules_fallback,0.72,1,28984.28,28984.28
INV-00036,INV-00036.pdf,INV2505880,Robertsham Glass and Perspex (Pty) Ltd,SUP-0039,PO-2025-00200,2025-11-05,2025-12-05,191222.16,28683.32,191222.16,exception,rules_fallback,0.72,2,28683.32,28683.32
INV-00091,INV-00091.pdf,INV2606003,Nigel Compressor Services (Pty) Ltd,SUP-0022,PO-2025-00321,2026-01-02,2026-03-03,24525.5,3678.83,24525.5,exception,rules_fallback,0.72,2,28204.33,28204.33
INV-00049,INV-00049.pdf,INV2506725,City Deep Cold Storage Spares (Pty) Ltd,SUP-0041,PO-2025-00211,2026-02-27,2026-02-27,173720.9,26058.14,199779.04,exception,rules_fallback,0.72,1,26058.14,26058.14
INV-00078,INV-00078.pdf,INV2672691,Midrand Bearing Supplies (Pty) Ltd,SUP-0001,PO-2026-93399,2026-08-24,2026-09-23,21197.27,3179.59,24376.86,exception,rules_fallback,0.72,1,24376.86,24376.86
INV-00052,INV-00052.pdf,INV2560784,Germiston Tool Hire (Pty) Ltd,SUP-0010,PO-2025-00126,2025-10-27,2025-11-26,21189.18,3178.38,24367.56,exception,rules_fallback,0.72,1,24367.56,24367.56
INV-00070,INV-00070.pdf,003004,Midrand Bearing Supplies (Pty) Ltd,SUP-0001,PO-2026-00171,2026-07-15,2026-09-13,19702.09,2955.31,22657.4,exception,rules_fallback,0.72,1,22657.4,22657.4
INV-00029,INV-00029.pdf,005119,Booysens Battery Centre (Pty) Ltd,SUP-0036,PO-2025-00013,2025-12-22,2026-01-21,19602.49,2940.37,22542.86,exception,rules_fallback,0.72,1,22542.86,22542.86
INV-00201,INV-00201.pdf,INV2606729,City Deep Cold Storage Spares (Pty) Ltd,SUP-0041,PO-2026-00115,2026-03-23,2026-03-23,149671.15,22450.67,172121.82,exception,rules_fallback,0.72,1,22450.67,22450.67
INV-00271,INV-00271.pdf,INV2552466,Elandsfontein Rubber (Pty) Ltd,SUP-0030,PO-2025-00129,2025-12-28,2025-12-28,16681.32,2502.2,19183.52,exception,rules_fallback,0.72,2,21685.72,19183.52
INV-00057,INV-00057.pdf,TI2604181,Salt River Marine Fittings (Pty) Ltd,SUP-0045,PO-2026-00400,2026-08-20,2026-08-20,15369.16,2305.37,17674.53,exception,rules_fallback,0.72,2,19979.899999999998,19979.9
INV-00183,INV-00183.pdf,INV2622999,Chamdor Forklift Spares (Pty) Ltd,SUP-0034,,2026-04-20,2026-05-20,16063.1,2409.47,18472.57,exception,rules_fallback,0.72,1,18472.57,18472.57
INV-00127,INV-00127.pdf,INV2630140,Benoni Industrial Paints (Pty) Ltd,SUP-0016,PO-2026-94536,2026-09-17,2026-09-17,13278.88,1991.83,15270.71,exception,rules_fallback,0.72,2,17262.54,15270.71
INV-00024,INV-00024.pdf,INV2563626,City Deep Cold Storage Spares (Pty) Ltd,SUP-0041,PO-2025-00063,2025-11-26,2026-01-25,14581.46,2187.22,16768.68,exception,rules_fallback,0.72,1,16768.68,16768.68
INV-00079,INV-00079.pdf,SI2606386,Kya Sand Plastics (Pty) Ltd TAX INVOICE,,PO-2026-00470,2026-05-14,2026-06-13,12660.64,1899.1,14559.74,exception,rules_fallback,0.72,2,16458.84,14559.74
INV-00105,INV-00105.pdf,INV2596644,Edenvale Filtration (Pty) Ltd,SUP-0019,,2025-10-23,2025-11-22,7143.21,1071.48,8214.69,exception,rules_fallback,0.72,2,16429.38,8214.69
INV-00235,INV-00235.pdf,002443,Tshwane Pneumatics (Pty) Ltd,SUP-0012,PO-2026-00268,2026-06-29,2026-08-13,14226.78,2134.02,16360.8,exception,rules_fallback,0.72,1,16360.8,16360.8
INV-00051,INV-00051.pdf,INV2644810,Kempton Cable Works (Pty) Ltd,SUP-0014,,2026-05-04,2026-06-03,7408.2,1111.23,7408.2,exception,rules_fallback,0.72,3,15927.63,7408.2
INV-00143,INV-00143.pdf,INV2605911,Wadeville Hose and Coupling (Pty) Ltd,SUP-0028,PO-2026-00135,2026-08-06,2026-09-05,29539.35,4430.9,29539.35,exception,rules_fallback,0.72,2,15894.16,15894.16
INV-00270,INV-00270.pdf,TI2605895,Wadeville Hose and Coupling (Pty) Ltd,SUP-0028,PO-2026-00299,2026-05-02,2026-05-02,37790.32,5668.55,43458.87,exception,rules_fallback,0.72,2,15116.130000000001,15116.13
INV-00244,INV-00244.pdf,TI2607604,Crown Mines Motor Spares (Pty) Ltd,SUP-0042,PO-2025-00117,2026-03-10,2026-03-10,97630.16,14644.52,112274.68,exception,rules_fallback,0.72,1,14644.52,14644.52
INV-00035,INV-00035.pdf,INV2505882,Robertsham Glass and Perspex (Pty) Ltd,SUP-0039,PO-2025-00015,2025-11-17,2025-11-17,97403.75,14610.56,112014.31,exception,rules_fallback,0.72,1,14610.56,14610.56
INV-00107,INV-00107.pdf,INV2606006,Nigel Compressor Services (Pty) Ltd,SUP-0022,PO-2026-00334,2026-06-03,2026-08-02,12047.38,1854.69,13902.07,exception,rules_fallback,0.72,2,13949.65,13949.65
INV-00044,INV-00044.pdf,INV2652822,Salt River Marine Fittings (Pty) Ltd,SUP-0045,,2026-06-02,2026-07-02,6015.06,902.26,6917.32,exception,rules_fallback,0.72,2,13834.64,6917.32
INV-00151,INV-00151.pdf,TI2506066,Sebenza Workwear (Pty) Ltd TAX INVOICE,,PO-2025-00263,2025-11-24,2025-12-24,10614.5,1592.18,12206.68,exception,rules_fallback,0.72,2,13798.86,12206.68
INV-00077,INV-00077.pdf,INV2604264,Modderfontein Chemicals (Pty) Ltd,SUP-0023,PO-2026-00128,2026-04-28,2026-05-28,11802.2,1770.33,13572.53,exception,rules_fallback,0.72,1,13572.53,13572.53
INV-00185,INV-00185.pdf,INV2627451,Edenvale Filtration (Pty) Ltd,SUP-0019,,2026-07-20,2026-08-19,6156.89,923.53,6156.89,exception,rules_fallback,0.72,3,13237.310000000001,6156.89
INV-00245,INV-00245.pdf,007997,Highveld Lubricants (Pty) Ltd,SUP-0006,PO-2026-00432,2026-07-01,2026-08-15,10866.6,1629.99,12496.59,exception,rules_fallback,0.72,1,12496.59,12496.59
INV-00217,INV-00217.pdf,TI2508008,Highveld Lubricants (Pty) Ltd,SUP-0006,PO-2025-00207,2025-12-15,2026-01-29,10798.36,1619.75,10798.36,exception,rules_fallback,0.72,2,12418.11,12418.11
INV-00224,INV-00224.pdf,INV2680397,Kempton Cable Works (Pty) Ltd,SUP-0014,,2026-06-15,2026-07-15,4839.83,725.97,5565.8,exception,rules_fallback,0.72,2,11131.6,5565.8
INV-00117,INV-00117.pdf,TI2607602,Crown Mines Motor Spares (Pty) Ltd,SUP-0042,PO-2026-00296,2026-08-05,2026-10-04,73937.36,11090.6,73937.36,exception,rules_fallback,0.72,1,11090.6,11090.6
INV-00209,INV-00209.pdf,SI2607611,Crown Mines Motor Spares (Pty) Ltd,SUP-0042,PO-2026-00354,2026-05-15,2026-07-14,73126.84,10969.03,84095.87,exception,rules_fallback,0.72,1,11013.4,11013.4
INV-00202,INV-00202.pdf,INV2680743,Springs Gearbox Services (Pty) Ltd,SUP-0018,PO-2026-00073,2026-08-10,2026-09-09,9069.6,1360.44,10430.04,exception,rules_fallback,0.72,1,10430.04,10430.04
INV-00196,INV-00196.pdf,TI2605358,Cape Conveyor Systems (Pty) Ltd,SUP-0007,PO-2026-00130,2026-03-09,2026-04-23,68364.71,10254.71,68364.71,exception,rules_fallback,0.72,1,10254.71,10254.71
INV-00205,INV-00205.pdf,TI2502150,Rand Safety Equipment (Pty) Ltd,SUP-0009,PO-2025-00131,2025-10-21,2025-12-20,8450.59,1267.59,9718.18,exception,rules_fallback,0.72,1,9718.18,9718.18
INV-00009,INV-00009.pdf,004269-R,Modderfontein Chemicals (Pty) Ltd,SUP-0023,PO-2025-00199,2026-01-21,2026-02-13,8136.06,1220.41,9356.47,exception,rules_fallback,0.72,1,9356.47,9356.47
INV-00069,INV-00069.pdf,SI2605526,Brakpan Sheet Metal (Pty) Ltd,SUP-0026,PO-2026-00170,2026-08-06,2026-09-05,10328.44,1549.27,10328.44,exception,rules_fallback,0.72,2,9295.6,9295.6
INV-00040,INV-00040.pdf,INV2649647,Kempton Cable Works (Pty) Ltd,SUP-0014,,2026-04-19,2026-04-19,3984.75,597.71,4582.46,exception,rules_fallback,0.72,2,9164.92,4582.46
INV-00045,INV-00045.pdf,002560,Cleveland Bolt Supplies (Pty) Ltd,SUP-0038,PO-2025-00139,2026-01-23,2026-02-22,60865.02,9129.75,60865.02,exception,rules_fallback,0.72,1,9129.75,9129.75
INV-00177,INV-00177.pdf,INV2606387-R,Kya Sand Plastics (Pty) Ltd,SUP-0027,PO-2025-00101,2026-01-13,2026-02-04,60690.84,9103.63,60690.84,exception,rules_fallback,0.72,1,9103.63,9103.63
INV-00033,INV-00033.pdf,SI2604177,Salt River Marine Fittings (Pty) Ltd,SUP-0045,PO-2026-00332,2026-05-04,2026-06-03,7323.32,1098.5,8421.82,exception,rules_fallback,0.72,1,8421.82,8421.82
INV-00171,INV-00171.pdf,TI2604574,New Centre Gas and Gear (Pty) Ltd,SUP-0043,PO-2026-00405,2026-02-23,2026-03-25,64934.2,9740.13,74674.33,exception,rules_fallback,0.72,1,7885.0,7885.0
INV-00082,INV-00082.pdf,TI2604994,Germiston Tool Hire (Pty) Ltd,SUP-0010,PO-2026-00092,2026-03-31,2026-04-30,141534.85,21230.23,162765.08,exception,rules_fallback,0.72,1,7880.85,7880.85
INV-00120,INV-00120.pdf,TI2601616,Sandton Electrical Wholesale (Pty) Ltd,SUP-0004,PO-2025-00188,2026-02-06,2026-02-06,50918.65,7643.41,58562.06,exception,rules_fallback,0.72,2,7649.0199999999995,7649.02
INV-00204,INV-00204.pdf,TI2602682,Randburg Instrumentation (Pty) Ltd,SUP-0024,PO-2026-00473,2026-06-10,2026-07-10,92892.95,13933.94,106826.89,exception,rules_fallback,0.72,1,7478.35,7478.35
INV-00041,INV-00041.pdf,SI2607608,Crown Mines Motor Spares (Pty) Ltd,SUP-0042,PO-2026-00414,2026-06-01,2026-07-31,48698.7,7304.81,48698.7,exception,rules_fallback,0.72,1,7304.81,7304.81
INV-00163,INV-00163.pdf,TI2603005,Midrand Bearing Supplies (Pty) Ltd,SUP-0001,PO-2026-00418,2026-05-04,2026-07-03,21939.75,3290.96,21939.75,exception,rules_fallback,0.72,2,6581.92,6581.92
INV-00010,INV-00010.pdf,SI2608413,Linbro Park Hardware (Pty) Ltd,SUP-0032,PO-2026-00103,2026-09-11,2026-09-11,5057.82,758.67,5816.49,exception,rules_fallback,0.72,2,6575.16,6575.16
INV-00007,INV-00007.pdf,008410,Linbro Park Hardware (Pty) Ltd,SUP-0032,PO-2026-00500,2026-05-12,2026-05-12,5040.4,756.06,5796.46,exception,rules_fallback,0.72,2,6552.52,6552.52
INV-00140,INV-00140.pdf,INV2506734,City Deep Cold Storage Spares (Pty) Ltd,SUP-0041,PO-2025-00348,2025-12-01,2026-01-30,40397.2,6059.58,40397.2,exception,rules_fallback,0.72,1,6059.58,6059.58
INV-00250,INV-00250.pdf,TI2505360,Cape Conveyor Systems (Pty) Ltd,SUP-0007,PO-2025-00177,2025-10-27,2025-12-11,35027.15,5254.07,35027.15,exception,rules_fallback,0.72,1,5254.07,5254.07
INV-00200,INV-00200.pdf,SI2607539,Benoni Industrial Paints (Pty) Ltd,SUP-0016,PO-2026-00113,2026-05-28,2026-06-27,23761.83,3564.27,23761.83,exception,rules_fallback,0.72,2,5013.17,5013.17
INV-00074,INV-00074.pdf,TI2501609,Sandton Electrical Wholesale (Pty) Ltd,SUP-0004,PO-2025-00249,2025-10-21,2025-11-20,30929.2,4639.38,30929.2,exception,rules_fallback,0.72,1,4639.38,4639.38
INV-00206,INV-00206.pdf,TI2606723,City Deep Cold Storage Spares (Pty) Ltd,SUP-0041,PO-2026-00157,2026-01-27,2026-03-28,29756.77,4463.52,29756.77,exception,rules_fallback,0.72,1,4463.52,4463.52
INV-00234,INV-00234.pdf,TI2603320,Elandsfontein Rubber (Pty) Ltd,SUP-0030,PO-2026-00221,2026-05-20,2026-05-20,29321.5,4398.23,33719.73,exception,rules_fallback,0.72,1,4398.23,4398.23
INV-00083,INV-00083.pdf,007547,Benoni Industrial Paints (Pty) Ltd,SUP-0016,PO-2026-00184,2026-07-20,2026-08-19,28618.32,4292.75,28618.32,exception,rules_fallback,0.72,1,4292.75,4292.75
INV-00153,INV-00153.pdf,SI2604179,Salt River Marine Fittings (Pty) Ltd,SUP-0045,PO-2025-00269,2026-01-16,2026-02-15,3670.82,550.62,4221.44,exception,rules_fallback,0.72,1,4221.44,4221.44
INV-00119,INV-00119.pdf,SI2605892,Robertsham Glass and Perspex (Pty) Ltd,SUP-0039,PO-2026-00243,2026-05-27,2026-06-26,27442.24,4116.34,27442.24,exception,rules_fallback,0.72,1,4116.34,4116.34
INV-00060,INV-00060.pdf,002557,Cleveland Bolt Supplies (Pty) Ltd,SUP-0038,PO-2026-00290,2026-10-16,2026-10-16,27103.96,4065.59,31169.55,exception,rules_fallback,0.72,1,4065.59,4065.59
INV-00011,INV-00011.pdf,002686,Randburg Instrumentation (Pty) Ltd,SUP-0024,PO-2026-00471,2026-04-08,2026-04-08,26809.86,4021.48,30831.34,exception,rules_fallback,0.72,1,4021.48,4021.48
INV-00186,INV-00186.pdf,INV2608523,Umgeni Valve and Pump (Pty) Ltd,SUP-0008,PO-2026-00137,2026-05-10,2026-05-10,15811.48,2371.72,18183.2,exception,rules_fallback,0.72,2,3976.2,3976.2
INV-00225,INV-00225.pdf,INV2605007,Germiston Tool Hire (Pty) Ltd,SUP-0010,PO-2026-00251,2026-07-17,2026-08-16,15083.15,2262.47,17345.62,exception,rules_fallback,0.72,1,3688.05,3688.05
INV-00076,INV-00076.pdf,008167,Protea Hydraulics (Pty) Ltd,SUP-0003,PO-2026-00212,2026-07-02,2026-08-01,23090.52,3463.58,23090.52,exception,rules_fallback,0.72,1,3463.58,3463.58
INV-00133,INV-00133.pdf,TI2604281,Modderfontein Chemicals (Pty) Ltd,SUP-0023,PO-2026-00232,2026-05-29,2026-06-28,8626.4,1293.96,9920.36,exception,rules_fallback,0.72,1,3450.56,3450.56
INV-00014,INV-00014.pdf,SI2604998,Germiston Tool Hire (Pty) Ltd,SUP-0010,PO-2026-00493,2026-02-23,2026-03-25,58831.9,8824.79,67656.69,exception,rules_fallback,0.72,1,3155.8,3155.8
INV-00247,INV-00247.pdf,008731,Alberton Seal and Gasket (Pty) Ltd,SUP-0015,PO-2026-00096,2026-03-16,2026-04-15,9903.5,1485.53,9903.5,exception,rules_fallback,0.72,2,2971.06,2971.06
INV-00027,INV-00027.pdf,005119,Booysens Battery Centre (Pty) Ltd,SUP-0036,PO-2025-00013,2025-12-22,2026-01-21,19602.49,2940.37,19602.49,exception,rules_fallback,0.72,1,2940.37,2940.37
INV-00123,INV-00123.pdf,TI2608726,Krugersdorp Chain and Sprocket (Pty) Ltd,SUP-0020,PO-2026-00014,2026-08-24,2026-10-23,21035.0,3155.25,24190.25,exception,rules_fallback,0.72,1,2799.5,2799.5
INV-00182,INV-00182.pdf,TI2605539,Brakpan Sheet Metal (Pty) Ltd,SUP-0026,PO-2026-00016,2026-05-27,2026-06-26,18262.83,2739.42,18262.83,exception,rules_fallback,0.72,1,2739.42,2739.42
INV-00005,INV-00005.pdf,INV2561762,New Centre Gas and Gear (Pty) Ltd,SUP-0043,PO-2026-95459,2025-10-08,2025-11-07,2226.62,333.99,2560.61,exception,rules_fallback,0.72,1,2560.61,2560.61
INV-00134,INV-00134.pdf,SI2605113,Booysens Battery Centre (Pty) Ltd,SUP-0036,PO-2026-00275,2026-06-02,2026-07-02,3683.31,552.5,4235.81,exception,rules_fallback,0.72,1,2455.54,2455.54
INV-00162,INV-00162.pdf,TI2605366,Cape Conveyor Systems (Pty) Ltd,SUP-0007,PO-2026-00134,2026-08-28,2026-08-28,16278.4,2441.76,18720.16,exception,rules_fallback,0.72,1,2441.76,2441.76
INV-00004,INV-00004.pdf,TI2508720,Krugersdorp Chain and Sprocket (Pty) Ltd,SUP-0020,PO-2025-00155,2025-11-28,2026-01-27,15823.9,2373.59,18197.49,exception,rules_fallback,0.72,1,2373.59,2373.59
INV-00283,INV-00283.pdf,INV2505121,Booysens Battery Centre (Pty) Ltd,SUP-0036,PO-2025-00312,2025-12-15,2026-01-14,9765.92,1464.89,11230.81,exception,rules_fallback,0.72,1,2208.68,2208.68
INV-00239,INV-00239.pdf,TI2603722,Boksburg Fastener Co (Pty) Ltd,SUP-0005,PO-2026-00110,,2026-07-15,14548.8,2182.32,16731.12,exception,rules_fallback,0.62,1,2182.32,2182.32
INV-00272,INV-00272.pdf,005901,Wadeville Hose and Coupling (Pty) Ltd,SUP-0028,PO-2026-00333,2026-05-14,2026-06-13,1865.0,279.75,2144.75,exception,rules_fallback,0.72,1,2144.75,2144.75
INV-00085,INV-00085.pdf,SI2602555,Cleveland Bolt Supplies (Pty) Ltd,SUP-0038,PO-2026-00434,2026-04-12,2026-04-12,13807.0,2071.05,15878.05,exception,rules_fallback,0.72,1,2071.05,2071.05
INV-00026,INV-00026.pdf,TI2607532,Benoni Industrial Paints (Pty) Ltd,SUP-0016,PO-2026-00240,2026-06-17,2026-07-17,36488.05,5473.21,41961.26,exception,rules_fallback,0.72,1,2043.43,2043.43
INV-00191,INV-00191.pdf,TI2602147,Rand Safety Equipment (Pty) Ltd,SUP-0009,PO-2026-00085,2026-04-03,2026-04-03,1752.24,262.84,2015.08,exception,rules_fallback,0.72,1,2015.08,2015.08
INV-00174,INV-00174.pdf,INV2603731,Boksburg Fastener Co (Pty) Ltd,SUP-0005,PO-2026-00077,2026-10-08,2026-10-08,12872.4,1930.86,14803.26,exception,rules_fallback,0.72,1,1930.86,1930.86
INV-00170,INV-00170.pdf,INV2657607,Ophirton Hydraulic Rams (Pty) Ltd,SUP-0040,PO-2026-98934,2026-05-01,2026-05-31,1660.98,249.15,1660.98,exception,rules_fallback,0.72,2,1910.13,1660.98
INV-00056,INV-00056.pdf,INV2506063,Sebenza Workwear (Pty) Ltd,SUP-0031,PO-2025-00394,2026-01-17,2026-01-17,12324.57,1848.69,14173.26,exception,rules_fallback,0.72,1,1848.69,1848.69
INV-00118,INV-00118.pdf,002688,Randburg Instrumentation (Pty) Ltd,SUP-0024,PO-2026-00186,2026-05-18,2026-06-17,39909.15,5986.37,45895.52,exception,rules_fallback,0.72,1,1713.36,1713.36
INV-00246,INV-00246.pdf,INV2508168,Protea Hydraulics (Pty) Ltd,SUP-0003,PO-2025-00112,2025-11-19,2025-12-19,31647.4,4747.11,36394.51,exception,rules_fallback,0.72,1,1693.85,1693.85
INV-00075,INV-00075.pdf,INV2571174,Alberton Seal and Gasket (Pty) Ltd,SUP-0015,,2025-12-02,2026-01-01,1468.11,220.22,1468.11,exception,rules_fallback,0.72,2,1688.33,1468.11
INV-00207,INV-00207.pdf,INV2603724,Boksburg Fastener Co (Pty) Ltd,SUP-0005,PO-2026-00143,2026-10-21,2026-10-21,11084.16,1662.62,12746.78,exception,rules_fallback,0.72,1,1662.62,1662.62
INV-00190,INV-00190.pdf,INV2503981,Selby Scrap and Recovery (Pty) Ltd,SUP-0035,PO-2025-00175,2025-12-11,2025-12-11,11055.7,1658.36,12714.06,exception,rules_fallback,0.72,1,1658.36,1658.36
