invoice_id,pdf_file,invoice_number,supplier_id,supplier_name,supplier_vat_number,po_number,invoice_date,due_date,bank_name,branch_code,account_number,subtotal_ex_vat,vat_amount,total_incl_vat,line_count,layout,is_scan,omitted_particulars,seeded_exceptions
INV-00025,INV-00025.pdf,TI2605114,SUP-0036,Booysens Battery Centre (Pty) Ltd,4655761019,PO-2026-00506,2026-04-17,2026-05-17,Capitec Business,470010,2238708796,14425.38,2163.81,16589.19,2,B,0,,
INV-00026,INV-00026.pdf,TI2607532,SUP-0016,Benoni Industrial Paints (Pty) Ltd,4688431792,PO-2026-00240,2026-06-17,2026-07-17,Capitec Business,470010,6520186947,36488.05,5473.21,41961.26,1,B,0,,E08_ARITHMETIC
INV-00027,INV-00027.pdf,005119,SUP-0036,Booysens Battery Centre (Pty) Ltd,4655761019,PO-2025-00013,2025-12-22,2026-01-21,Capitec Business,470010,2238708796,19602.49,2940.37,22542.86,3,C,0,,
INV-00028,INV-00028.pdf,SI2603010,SUP-0001,Midrand Bearing Supplies (Pty) Ltd,4310265355,PO-2026-00180,2026-08-10,2026-10-09,First National Bank,250655,9308836478,10095.46,1514.32,11609.78,3,C,0,,
INV-00029,INV-00029.pdf,005119,SUP-0036,Booysens Battery Centre (Pty) Ltd,4655761019,PO-2025-00013,2025-12-22,2026-01-21,Capitec Business,470010,2238708796,19602.49,2940.37,22542.86,3,A,0,,E03_DUPLICATE
INV-00030,INV-00030.pdf,INV2604990,SUP-0010,Germiston Tool Hire (Pty) Ltd,4336812635,PO-2026-00035,2026-04-10,2026-05-10,Standard Bank,051001,320010260,22325.16,3348.77,25673.93,3,A,0,,
INV-00031,INV-00031.pdf,TI2503329,SUP-0030,Elandsfontein Rubber (Pty) Ltd,4324904261,PO-2025-00164,2025-11-24,2025-12-24,Nedbank,198765,827736293,4126.32,618.95,4745.27,3,A,0,,
INV-00032,INV-00032.pdf,006744,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,4587048565,PO-2026-00168,2026-02-19,2026-04-20,Nedbank,198765,2101929685,241825.6,36273.84,278099.44,2,C,0,,
INV-00033,INV-00033.pdf,SI2604177,SUP-0045,Salt River Marine Fittings (Pty) Ltd,4241849051,PO-2026-00332,2026-05-04,2026-06-03,Absa Bank,632005,037652732,7323.32,1098.5,8421.82,2,A,0,,
INV-00034,INV-00034.pdf,TI2606070,SUP-0031,Sebenza Workwear (Pty) Ltd,4137697806,PO-2026-00468,2026-09-11,2026-10-11,Nedbank,198765,142247922,6849.8,1027.47,7877.27,2,B,0,,
INV-00035,INV-00035.pdf,INV2505882,SUP-0039,Robertsham Glass and Perspex (Pty) Ltd,4519492735,PO-2025-00015,2025-10-18,2025-11-17,Capitec Business,470010,63734875647,97403.75,14610.56,112014.31,1,D,0,,E09_DATE_ANOMALY
INV-00036,INV-00036.pdf,INV2505880,SUP-0039,Robertsham Glass and Perspex (Pty) Ltd,4519492735,PO-2025-00200,2025-11-05,2025-12-05,Capitec Business,470010,63734875647,191222.16,28683.32,219905.48,2,C,0,,E09_DATE_ANOMALY
INV-00037,INV-00037.pdf,TI2602752A,SUP-0044,Village Main Instruments (Pty) Ltd,4043496765,PO-2026-00217,2026-09-05,2026-10-03,Absa Bank,632005,696049115,22255.8,3338.37,25594.17,2,B,1,,E03_DUPLICATE
INV-00038,INV-00038.pdf,005122,SUP-0036,Booysens Battery Centre (Pty) Ltd,4655761019,PO-2025-00415,2026-01-08,2026-02-07,Capitec Business,470010,2238708796,15396.4,2309.46,17705.86,1,B,0,,
INV-00039,INV-00039.pdf,SI2605844,SUP-0017,Roodepoort Motor Rewinds (Pty) Ltd,4443768103,PO-2025-00367,2026-01-09,2026-02-23,Investec,580105,04168918377,75963.36,11394.5,87357.86,1,B,0,,E03_DUPLICATE
INV-00040,INV-00040.pdf,INV2649647,SUP-0014,Kempton Cable Works (Pty) Ltd,4066746330,,2026-03-20,2026-04-19,First National Bank,250655,468719544,3984.75,597.71,4582.46,2,D,0,,E04_NO_PO|E07_UNAPPROVED_SUPPLIER
INV-00041,INV-00041.pdf,SI2607608,SUP-0042,Crown Mines Motor Spares (Pty) Ltd,4021856678,PO-2026-00414,2026-06-01,2026-07-31,Standard Bank,051001,200689969,48698.7,7304.81,56003.51,1,C,0,,
INV-00042,INV-00042.pdf,INV2637183,SUP-0014,Kempton Cable Works (Pty) Ltd,4066746330,,2026-01-30,2026-03-01,First National Bank,250655,468719544,19005.63,2850.84,21856.47,2,A,0,,E04_NO_PO|E07_UNAPPROVED_SUPPLIER
INV-00043,INV-00043.pdf,TI2608735,SUP-0015,Alberton Seal and Gasket (Pty) Ltd,4766946128,PO-2026-00060,2026-08-05,2026-09-04,First National Bank,250655,76774682715,292.78,43.92,336.7,1,B,0,,E01_PRICE_VARIANCE
INV-00044,INV-00044.pdf,INV2652822,SUP-0045,Salt River Marine Fittings (Pty) Ltd,4241849051,,2026-06-02,2026-07-02,Absa Bank,632005,037652732,6015.06,902.26,6917.32,2,A,0,,E04_NO_PO
INV-00045,INV-00045.pdf,002560,SUP-0038,Cleveland Bolt Supplies (Pty) Ltd,4220502518,PO-2025-00139,2026-01-23,2026-02-22,Capitec Business,470010,300763464,60865.02,9129.75,69994.77,2,C,0,,
INV-00046,INV-00046.pdf,004584,SUP-0043,New Centre Gas and Gear (Pty) Ltd,4763833892,PO-2026-00235,2026-07-13,2026-08-12,Investec,580105,1829516973,1483.08,222.46,1705.54,1,D,0,,
INV-00047,INV-00047.pdf,003001,SUP-0001,Midrand Bearing Supplies (Pty) Ltd,4310265355,PO-2025-00424,2025-12-10,2026-02-08,First National Bank,250655,9308836478,44267.11,6640.07,50907.18,3,A,0,,
INV-00048,INV-00048.pdf,008161,SUP-0003,Protea Hydraulics (Pty) Ltd,4709743620,PO-2026-00099,2026-02-20,2026-03-22,Investec,580105,783262215,2457.4,368.61,2826.01,1,A,1,,
INV-00049,INV-00049.pdf,INV2506725,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,4587048565,PO-2025-00211,2025-12-29,2026-02-27,Nedbank,198765,2101929685,173720.9,26058.14,199779.04,1,D,0,,
INV-00050,INV-00050.pdf,004171,SUP-0018,Springs Gearbox Services (Pty) Ltd,4292138514,PO-2025-00308,2025-10-21,2025-11-20,Standard Bank,051001,87770767045,36808.3,5521.25,42329.55,3,A,0,,
INV-00051,INV-00051.pdf,INV2644810,SUP-0014,Kempton Cable Works (Pty) Ltd,4066746330,,2026-05-04,2026-06-03,First National Bank,250655,468719544,7408.2,1111.23,8519.43,2,C,0,,E04_NO_PO|E07_UNAPPROVED_SUPPLIER
INV-00052,INV-00052.pdf,INV2560784,SUP-0010,Germiston Tool Hire (Pty) Ltd,4336812635,PO-2025-00126,2025-10-27,2025-11-26,Standard Bank,051001,320010260,21189.18,3178.38,24367.56,1,A,0,,E12_GOODS_NOT_RECEIVED
INV-00053,INV-00053.pdf,TI2602449,SUP-0012,Tshwane Pneumatics (Pty) Ltd,4985326213,PO-2026-00376,2026-08-18,2026-10-02,First National Bank,250655,3340180146,2045.5,306.83,2352.33,1,B,0,,
INV-00054,INV-00054.pdf,003988,SUP-0035,Selby Scrap and Recovery (Pty) Ltd,4920583702,PO-2025-00306,2025-11-03,2025-12-03,First National Bank,250655,4740218151,7251.9,1087.79,8339.69,1,D,0,,
INV-00055,INV-00055.pdf,SI2506724,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,4587048565,PO-2025-00245,2025-12-22,2026-02-20,Nedbank,198765,2101929685,95035.43,14255.31,109290.74,2,B,0,,
INV-00056,INV-00056.pdf,INV2506063,SUP-0031,Sebenza Workwear (Pty) Ltd,4137697806,PO-2025-00394,2025-12-18,2026-01-17,Nedbank,198765,142247922,12324.57,1848.69,14173.26,2,D,0,,
INV-00057,INV-00057.pdf,TI2604181,SUP-0045,Salt River Marine Fittings (Pty) Ltd,4241849051,PO-2026-00400,2026-07-21,2026-08-20,Absa Bank,632005,037652732,15369.16,2305.37,17674.53,2,D,0,,
INV-00058,INV-00058.pdf,SI2607632,SUP-0025,Sasolburg Pipe and Fittings (Pty) Ltd,4728868642,PO-2026-00053,2026-08-03,2026-09-02,Standard Bank,051001,68910965089,459.2,68.88,528.08,1,A,0,,
INV-00059,INV-00059.pdf,TI2508265,SUP-0002,Vaal Steel Merchants (Pty) Ltd,4096043968,PO-2025-00478,2025-12-19,2026-02-02,Capitec Business,470010,20285660330,87304.08,13095.61,100399.69,3,D,1,,
INV-00060,INV-00060.pdf,002557,SUP-0038,Cleveland Bolt Supplies (Pty) Ltd,4220502518,PO-2026-00290,2026-09-16,2026-10-16,Capitec Business,470010,300763464,27103.96,4065.59,31169.55,3,D,0,,
INV-00061,INV-00061.pdf,006077,SUP-0031,Sebenza Workwear (Pty) Ltd,4137697806,PO-2026-00159,2026-08-01,2026-08-31,Nedbank,198765,142247922,14869.78,2230.47,17100.25,2,B,1,,E09_DATE_ANOMALY
INV-00062,INV-00062.pdf,TI2505735,SUP-0033,Aeroton Castors (Pty) Ltd,4398129039,PO-2025-00261,2025-10-29,2025-12-13,Standard Bank,051001,737734820,2818.34,422.75,3241.09,2,A,0,,E02_QTY_OVER_BILLED
INV-00063,INV-00063.pdf,SI2608260,SUP-0002,Vaal Steel Merchants (Pty) Ltd,4096043968,PO-2026-00264,2026-09-16,2026-10-31,Capitec Business,470010,20285660330,61259.33,9188.9,70448.23,2,B,0,,
INV-00064,INV-00064.pdf,INV2677836,SUP-0003,Protea Hydraulics (Pty) Ltd,4709743620,,2026-05-06,2026-06-05,Investec,580105,783262215,36787.02,5518.05,42305.07,2,C,0,,E04_NO_PO
INV-00065,INV-00065.pdf,004167,SUP-0018,Springs Gearbox Services (Pty) Ltd,4292138514,PO-2026-00138,2026-07-03,2026-08-02,Standard Bank,051001,87770767045,18487.35,2773.1,21260.45,2,D,1,,
INV-00066,INV-00066.pdf,SI2602760,SUP-0044,Village Main Instruments (Pty) Ltd,4043496765,PO-2025-00494,2026-01-12,2026-02-11,Absa Bank,632005,696049115,66054.75,9908.21,75962.96,2,A,1,,E02_QTY_OVER_BILLED
INV-00067,INV-00067.pdf,INV2508165,SUP-0003,Protea Hydraulics (Pty) Ltd,4709743620,PO-2025-00230,2025-12-01,2025-12-31,Investec,580105,783262215,182078.79,31276.54,213355.33,4,A,1,,E05_VAT_ERROR
INV-00068,INV-00068.pdf,SI2608725,SUP-0015,Alberton Seal and Gasket (Pty) Ltd,4766946128,PO-2026-00382,2026-04-28,2026-05-28,First National Bank,250655,76774682715,35943.0,5391.45,41334.45,2,A,0,,
INV-00069,INV-00069.pdf,SI2605526,SUP-0026,Brakpan Sheet Metal (Pty) Ltd,4191277618,PO-2026-00170,2026-08-06,2026-09-05,Investec,580105,330694702,10328.44,1549.27,11877.71,1,C,0,,E02_QTY_OVER_BILLED
INV-00070,INV-00070.pdf,003004,SUP-0001,Midrand Bearing Supplies (Pty) Ltd,4310265355,PO-2026-00171,2026-07-15,2026-09-13,Capitec Business,470010,3025625699,19702.09,2955.31,22657.4,3,A,0,,E06_BANK_CHANGE
INV-00071,INV-00071.pdf,INV2607617,SUP-0042,Crown Mines Motor Spares (Pty) Ltd,4021856678,PO-2026-00402,2026-04-10,2026-06-09,Standard Bank,051001,200689969,257753.75,38663.06,296416.81,1,C,0,,
INV-00072,INV-00072.pdf,TI2503326,SUP-0030,Elandsfontein Rubber (Pty) Ltd,4324904261,PO-2025-00181,2025-11-25,2025-12-25,Nedbank,198765,827736293,4372.15,668.57,5040.72,3,A,0,,E05_VAT_ERROR
INV-00073,INV-00073.pdf,003982,SUP-0035,Selby Scrap and Recovery (Pty) Ltd,4920583702,PO-2026-00116,2026-08-03,2026-09-02,First National Bank,250655,4740218151,3901.32,585.2,4486.52,1,A,0,,
INV-00074,INV-00074.pdf,TI2501609,SUP-0004,Sandton Electrical Wholesale (Pty) Ltd,4946420230,PO-2025-00249,2025-10-21,2025-11-20,Capitec Business,470010,854779841,30929.2,4639.38,35568.58,3,C,0,,
INV-00075,INV-00075.pdf,INV2571174,SUP-0015,Alberton Seal and Gasket (Pty) Ltd,4766946128,,2025-12-02,2026-01-01,First National Bank,250655,76774682715,1468.11,220.22,1688.33,2,C,0,,E04_NO_PO
INV-00076,INV-00076.pdf,008167,SUP-0003,Protea Hydraulics (Pty) Ltd,4709743620,PO-2026-00212,2026-07-02,2026-08-01,Investec,580105,783262215,23090.52,3463.58,26554.1,1,C,0,,
INV-00077,INV-00077.pdf,INV2604264,SUP-0023,Modderfontein Chemicals (Pty) Ltd,4286297325,PO-2026-00128,2026-04-28,2026-05-28,Investec,580105,05016747430,11802.2,1770.33,13572.53,2,B,0,,E06_BANK_CHANGE
INV-00078,INV-00078.pdf,INV2672691,SUP-0001,Midrand Bearing Supplies (Pty) Ltd,4310265355,PO-2026-93399,2026-08-24,2026-09-23,First National Bank,250655,9308836478,21197.27,3179.59,24376.86,2,B,0,,E04_NO_PO
INV-00079,INV-00079.pdf,SI2606386,SUP-0027,Kya Sand Plastics (Pty) Ltd,4888235541,PO-2026-00470,2026-05-14,2026-06-13,Absa Bank,632005,2962016583,12660.64,1899.1,14559.74,2,B,0,supplier_vat_number,E11_INVALID_TAX_INVOICE
INV-00080,INV-00080.pdf,SI2605125,SUP-0036,Booysens Battery Centre (Pty) Ltd,4655761019,PO-2026-00292,2026-06-16,2026-07-16,Investec,580105,4190472586,25203.72,3780.56,28984.28,4,B,0,,E06_BANK_CHANGE
INV-00081,INV-00081.pdf,INV2665164,SUP-0021,Witbank Belting (Pty) Ltd,4604536863,,2026-07-17,2026-08-16,Investec,580105,27697013193,10965.26,1644.79,12610.05,2,C,1,,E04_NO_PO|E07_UNAPPROVED_SUPPLIER
INV-00082,INV-00082.pdf,TI2604994,SUP-0010,Germiston Tool Hire (Pty) Ltd,4336812635,PO-2026-00092,2026-03-31,2026-04-30,Standard Bank,051001,320010260,141534.85,21230.23,162765.08,3,A,0,,E02_QTY_OVER_BILLED
INV-00083,INV-00083.pdf,007547,SUP-0016,Benoni Industrial Paints (Pty) Ltd,4688431792,PO-2026-00184,2026-07-20,2026-08-19,Capitec Business,470010,6520186947,28618.32,4292.75,32911.07,1,C,0,,
INV-00084,INV-00084.pdf,002447,SUP-0012,Tshwane Pneumatics (Pty) Ltd,4985326213,PO-2026-00242,2026-03-02,2026-04-16,First National Bank,250655,3340180146,36911.66,5536.75,42448.41,3,B,0,,E01_PRICE_VARIANCE
INV-00085,INV-00085.pdf,SI2602555,SUP-0038,Cleveland Bolt Supplies (Pty) Ltd,4220502518,PO-2026-00434,2026-03-13,2026-04-12,Capitec Business,470010,300763464,13807.0,2071.05,15878.05,1,D,0,,
INV-00086,INV-00086.pdf,TI2605908,SUP-0028,Wadeville Hose and Coupling (Pty) Ltd,4374336397,PO-2026-00485,2026-01-20,2026-02-19,Nedbank,198765,1651987388,7159.94,1073.99,8233.93,2,A,1,,E09_DATE_ANOMALY
INV-00087,INV-00087.pdf,TI2502681,SUP-0024,Randburg Instrumentation (Pty) Ltd,4476453990,PO-2025-00028,2025-12-31,2026-01-30,Investec,580105,76652374914,3839.28,575.89,4415.17,1,A,0,,
INV-00088,INV-00088.pdf,SI2605888,SUP-0039,Robertsham Glass and Perspex (Pty) Ltd,4519492735,PO-2026-00373,2026-06-04,2026-07-04,Capitec Business,470010,63734875647,24606.42,3690.96,28297.38,2,A,0,,
INV-00089,INV-00089.pdf,SI2602764,SUP-0044,Village Main Instruments (Pty) Ltd,4043496765,PO-2026-00094,2026-02-12,2026-03-14,Absa Bank,632005,696049115,142221.6,21333.24,163554.84,1,B,0,,
INV-00090,INV-00090.pdf,007614,SUP-0042,Crown Mines Motor Spares (Pty) Ltd,4021856678,PO-2026-00236,2026-08-05,2026-10-04,Standard Bank,051001,200689969,556291.82,83443.77,639735.59,2,B,1,recipient_name,E11_INVALID_TAX_INVOICE
INV-00091,INV-00091.pdf,INV2606003,SUP-0022,Nigel Compressor Services (Pty) Ltd,4031702488,PO-2025-00321,2026-01-02,2026-03-03,Nedbank,198765,0657675921,24525.5,3678.83,28204.33,2,C,0,,
INV-00092,INV-00092.pdf,TI2603453,SUP-0040,Ophirton Hydraulic Rams (Pty) Ltd,4746494091,PO-2026-00046,2026-06-02,2026-07-02,Capitec Business,470010,2553281416,69805.82,10470.87,80276.69,2,B,0,,
INV-00093,INV-00093.pdf,002684,SUP-0024,Randburg Instrumentation (Pty) Ltd,4476453990,PO-2026-00031,2026-05-08,2026-06-07,Investec,580105,76652374914,2739.68,410.95,3150.63,1,B,0,,
INV-00094,INV-00094.pdf,SI2606747,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,4587048565,PO-2026-00154,2026-03-25,2026-05-24,Nedbank,198765,2101929685,5366.76,805.01,6171.77,1,A,0,,
INV-00095,INV-00095.pdf,TI2608170,SUP-0003,Protea Hydraulics (Pty) Ltd,4709743620,PO-2026-00457,2026-04-15,2026-05-15,Investec,580105,783262215,380158.5,57023.78,437182.28,1,A,0,,
INV-00096,INV-00096.pdf,INV2635829,SUP-0021,Witbank Belting (Pty) Ltd,4604536863,,2026-06-19,2026-07-19,Investec,580105,27697013193,69544.86,10431.73,79976.59,2,D,0,,E04_NO_PO|E07_UNAPPROVED_SUPPLIER
INV-00097,INV-00097.pdf,SI2502452,SUP-0012,Tshwane Pneumatics (Pty) Ltd,4985326213,PO-2025-00311,2025-11-24,2026-01-08,First National Bank,250655,3340180146,194525.97,29178.9,223704.87,2,B,0,,E08_ARITHMETIC
INV-00098,INV-00098.pdf,INV2608100,SUP-0011,Karoo Abrasives (Pty) Ltd,4876863215,PO-2026-00185,2026-07-30,2026-09-13,Absa Bank,632005,4414046038,1793.41,269.01,2062.42,2,C,0,,
INV-00099,INV-00099.pdf,INV2619900,SUP-0030,Elandsfontein Rubber (Pty) Ltd,4324904261,PO-2026-99721,2026-02-09,2026-03-11,Nedbank,198765,827736293,969.98,145.5,1115.48,2,B,0,,E04_NO_PO
INV-00100,INV-00100.pdf,SI2502561,SUP-0038,Cleveland Bolt Supplies (Pty) Ltd,4220502518,PO-2025-00426,2025-11-10,2025-12-10,Capitec Business,470010,300763464,640.0,96.0,736.0,1,C,0,,
INV-00101,INV-00101.pdf,INV2508261,SUP-0002,Vaal Steel Merchants (Pty) Ltd,4096043968,PO-2025-00428,2025-11-19,2026-01-03,Capitec Business,470010,20285660330,4463.2,669.48,5132.68,2,A,0,,
INV-00102,INV-00102.pdf,INV2608725,SUP-0020,Krugersdorp Chain and Sprocket (Pty) Ltd,4945218640,PO-2026-00392,2026-03-25,2026-05-24,Capitec Business,470010,1887809026,18395.41,2759.31,21154.72,3,B,1,,E08_ARITHMETIC
INV-00103,INV-00103.pdf,INV2606069,SUP-0031,Sebenza Workwear (Pty) Ltd,4137697806,PO-2026-00244,2026-03-27,2026-04-26,Nedbank,198765,142247922,10240.22,1536.03,11776.25,4,B,0,,
INV-00104,INV-00104.pdf,SI2603723,SUP-0005,Boksburg Fastener Co (Pty) Ltd,4796728484,PO-2025-00051,2026-01-06,2026-02-05,Investec,580105,2849751901,4358.1,610.13,4968.23,3,A,0,,E05_VAT_ERROR
INV-00105,INV-00105.pdf,INV2596644,SUP-0019,Edenvale Filtration (Pty) Ltd,4716646430,,2025-10-23,2025-11-22,First National Bank,250655,571310804,7143.21,1071.48,8214.69,2,B,0,,E04_NO_PO|E07_UNAPPROVED_SUPPLIER
INV-00106,INV-00106.pdf,INV2649613,SUP-0025,Sasolburg Pipe and Fittings (Pty) Ltd,4728868642,,2026-05-18,2026-06-17,Standard Bank,051001,68910965089,42724.99,6408.75,49133.74,1,A,0,,E04_NO_PO|E10_THRESHOLD_SPLIT
INV-00107,INV-00107.pdf,INV2606006,SUP-0022,Nigel Compressor Services (Pty) Ltd,4031702488,PO-2026-00334,2026-06-03,2026-08-02,Nedbank,198765,0657675921,12047.38,1854.69,13902.07,1,B,0,,E05_VAT_ERROR
INV-00108,INV-00108.pdf,TI2602570,SUP-0038,Cleveland Bolt Supplies (Pty) Ltd,4220502518,PO-2026-00463,2026-03-30,2026-04-29,Standard Bank,051001,61357459646,2242.73,336.41,2579.14,2,C,1,,E06_BANK_CHANGE
INV-00109,INV-00109.pdf,INV2605522,SUP-0026,Brakpan Sheet Metal (Pty) Ltd,4191277618,PO-2026-00206,2026-03-02,2026-04-01,Investec,580105,330694702,1904.88,285.73,2190.61,1,A,0,,
INV-00110,INV-00110.pdf,INV2505530,SUP-0026,Brakpan Sheet Metal (Pty) Ltd,4191277618,PO-2025-00047,2025-10-13,2025-11-12,Investec,580105,330694702,110700.54,16605.08,127305.62,4,A,0,,E09_DATE_ANOMALY
INV-00111,INV-00111.pdf,INV2606059,SUP-0031,Sebenza Workwear (Pty) Ltd,4137697806,PO-2026-00331,2026-02-03,2026-03-05,Nedbank,198765,142247922,6961.23,1044.18,8005.41,3,B,1,,
INV-00112,INV-00112.pdf,TI2503318,SUP-0030,Elandsfontein Rubber (Pty) Ltd,4324904261,PO-2025-00255,2025-12-08,2026-01-07,Nedbank,198765,827736293,1946.8,292.02,2238.82,1,B,0,,
INV-00113,INV-00113.pdf,005520A,SUP-0026,Brakpan Sheet Metal (Pty) Ltd,4191277618,PO-2025-00344,2025-12-12,2026-01-04,Investec,580105,330694702,45991.57,6898.74,52890.31,4,A,0,,E03_DUPLICATE
INV-00114,INV-00114.pdf,TI2605905,SUP-0028,Wadeville Hose and Coupling (Pty) Ltd,4374336397,PO-2026-00228,2026-08-26,2026-09-25,Nedbank,198765,1651987388,306.39,45.96,352.35,1,C,0,,
INV-00115,INV-00115.pdf,SI2607545,SUP-0016,Benoni Industrial Paints (Pty) Ltd,4688431792,PO-2026-00466,2026-06-17,2026-07-17,Capitec Business,470010,6520186947,10482.29,1572.34,12054.63,2,B,0,,
